sequence,date,type,status,actualConversationPages,title,corePdfUrl,sourcePacketUrl,sourcePdfPages,readingPacketPages,actualConversationPacketPages,markerPage,pddReferences,publicStatementsSameDay,publicStatementsNearby,sourceCopies,strobeContext,naraSupport,frusSourceNote,compilerAction
"24","1994-09-27","Memcon","counted","7","Clinton-Yeltsin one-on-one memcon, September 27, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","213-219","126-133","126-132","209","","1994-09-27 (same day) Remarks at a State Dinner Honoring President Boris Yeltsin of Russia [p. 1641] <https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1641.pdf>; 1994-09-27 (same day) Remarks Prior to Discussions With President Yeltsin of Russia and an Exchange With Reporters [pp. 1634-1635] <https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1634.pdf>; 1994-09-27 (same day) Remarks Welcoming President Boris Yeltsin of Russia [pp. 1633-1634] <https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1633-2.pdf>; 1994-09-27 (same day) Remarks Honoring Russian and American Veterans of World War II [pp. 1635-1636] <https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1635.pdf>","","15MpCXy-fCB8_KdvadCV1ypsw12ejYX3Z: 940927 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/15MpCXy-fCB8_KdvadCV1ypsw12ejYX3Z/view>","1994-09-27 (same day) Handling Yeltsin <https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000144/C09000144.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 481, Folder Title/Record ID 9408090, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"25","1994-09-27","Memcon","counted","10","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","251-260","134-144","134-143","245","","1994-09-27 (same day) Remarks at a State Dinner Honoring President Boris Yeltsin of Russia [p. 1641] <https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1641.pdf>; 1994-09-27 (same day) Remarks Prior to Discussions With President Yeltsin of Russia and an Exchange With Reporters [pp. 1634-1635] <https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1634.pdf>; 1994-09-27 (same day) Remarks Welcoming President Boris Yeltsin of Russia [pp. 1633-1634] <https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1633-2.pdf>; 1994-09-27 (same day) Remarks Honoring Russian and American Veterans of World War II [pp. 1635-1636] <https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1635.pdf>","","13ojhHQejsL_uYgVxz_GHe8u_ponQ_FFj: 940927 Clinton and Yeltsin in DC memconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/13ojhHQejsL_uYgVxz_GHe8u_ponQ_FFj/view>","1994-09-27 (same day) Handling Yeltsin <https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2022V2/F-2017-13804/DOC_0C09000144/C09000144.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 482, Folder Title/Record ID 9408513, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"26","1994-09-28","Memcon","counted","6","Second Clinton/Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/2509827ca57f98e07eec584b3d69250f.pdf","3-7,9","145-150","145-150","","","1994-09-28 (same day) The President's News Conference With President Boris Yeltsin of Russia [pp. 1642-1649] <https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1642-2.pdf>; 1994-09-28 (same day) Remarks on Opening the Library of Congress Exhibit on the History of the Russian Orthodox Church in North America [p. 1642] <https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1642.pdf>","","","","","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101758, ""Declassified documents concerning telcon between the President and Boris Yeltsin on September 28, 1994,"" identifier 2018-1215-M; creators National Security Council, NSC European Affairs Office, and Alexander Vershbow; part of National Archives Catalog Description, NAID 7585499; Clinton Presidential Records: White House Staff and Office Files; Declassified Documents collection.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact."
"27","1994-10-05","Telcon","counted","4","Telephone call with President Boris Yeltsin, October 5, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-05-telcon-24.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","227-230","151-155","151-154","221","10:30-11:03 The President talked on a conference call with Boris N. Yeltsin. pp. 81 <https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/3681/17368177/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-008-2015.pdf>","","","C06694711: Telephone Conversation with Russian President Yeltsin (Strobe FOIA copy of the actual October 5, 1994 telcon; duplicate source copy, not counted again.) <https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06694711/C06694711.pdf>","1994-10-05 (same day) Telephone Conversation with Russian President Yeltsin <https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06694711/C06694711.pdf>; 1994-10-07 (+2 days) Transmittal of Presidential Telcon with President Boris Yeltsin of Russia <https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06694708/C06694708.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9408162, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"28","1994-10-10","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","238-241","156-160","156-159","233","12:12-12:38 The President talked on a conference call with Boris N. Yeltsin. pp. 83 <https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/3681/17368177/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-008-2015.pdf>","","","1fClpMfna1KtDo3cWvis5vnkYWBjNRPwD: 931010 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1fClpMfna1KtDo3cWvis5vnkYWBjNRPwD/view>","1994-10-07 (-3 days) Transmittal of Presidential Telcon with President Boris Yeltsin of Russia <https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06694708/C06694708.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 481, Folder Title/Record ID 9408229, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"29","1995-02-13","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","268-271","161-165","161-164","263","1:01-1:27 The President talked on a conference call with Boris N. Yeltsin. pp. 93 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-005-004-2018.pdf>","","","1EgGoQhfX4a7Fq8fEWtIhjUISe6hko4ai: 950213 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1EgGoQhfX4a7Fq8fEWtIhjUISe6hko4ai/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 564, Folder Title/Record ID 9500995, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"30","1995-04-27","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","280-283","166-170","166-169","275","","","","","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9503572, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate."
"31","1995-05-10","Memcon","counted","16","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","285-300","171-187","171-186","284","10:10-2:05 The President met with Boris N. Yeltsin in Moscow, continued the meeting, and attended a private luncheon hosted by President Yeltsin; appendix lists senior Russian participants including Chernomyrdin and Kozyrev. pp. 67-68, 74 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-006-003-2018.pdf>","1995-05-10 (same day) Exchange With Reporters Following Discussions With President Boris Yeltsin of Russia in Moscow [p. 661] <https://www.govinfo.gov/content/pkg/PPP-1995-book1/pdf/PPP-1995-book1-doc-pg661.pdf>; 1995-05-10 (same day) The President's News Conference With President Boris Yeltsin of Russia in Moscow [pp. 661-667] <https://www.govinfo.gov/content/pkg/PPP-1995-book1/pdf/PPP-1995-book1-doc-pg661-2.pdf>; 1995-05-10 (same day) Remarks to Students at Moscow State University [pp. 672-677] <https://www.govinfo.gov/content/pkg/PPP-1995-book1/pdf/PPP-1995-book1-doc-pg672.pdf>; 1995-05-10 (same day) Joint Statement on European Security [pp. 668-669] <https://www.govinfo.gov/content/pkg/PPP-1995-book1/pdf/PPP-1995-book1-doc-pg668.pdf>; 1995-05-10 (same day) Joint Statement on Nonproliferation [pp. 669-670] <https://www.govinfo.gov/content/pkg/PPP-1995-book1/pdf/PPP-1995-book1-doc-pg669.pdf>; 1995-05-10 (same day) Joint Statement on the Transparency and Irreversibility of the Process of Reducing Nuclear Weapons [pp. 671-672] <https://www.govinfo.gov/content/pkg/PPP-1995-book1/pdf/PPP-1995-book1-doc-pg671.pdf>; 1995-05-10 (same day) Russia-United States Joint Statement on Missile Systems [pp. 667-668] <https://www.govinfo.gov/content/pkg/PPP-1995-book1/pdf/PPP-1995-book1-doc-pg667.pdf>","","","","1995-05-08 (-2 days) Declassified Documents Regarding President Clinton Trip to Russia and Ukraine, May 8-12, 1995 <https://clinton.presidentiallibraries.us/files/original/bf446041854cb39940cdb882deb8f83c.pdf>","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9503774, Original OA/ID 582, Mandatory Declassification Review 2014-0904-M-Release-A, Declassified documents concerning Russia.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Review nearby support/context records only after final document selection."
"32","1995-06-17","Memcon","counted","8","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf","https://therealjameswilson.github.io/strobe-talbott-foia/manifest.html","Strobe FOIA document C06835181, conversation pages 1-8","188-195","188-195","","","1995-06-17 (same day) Exchange With Reporters Prior to Discussions With President Boris Yeltsin of Russia in Halifax [pp. 903-904] <https://www.govinfo.gov/content/pkg/PPP-1995-book1/pdf/PPP-1995-book1-doc-pg903.pdf>","","C06835181: Clinton-Yeltsin Meeting (Strobe FOIA copy with the actual Halifax Clinton-Yeltsin meeting pages 1-8.) <https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2021_C/F-2017-13804/DOC_0C06835181/C06835181.pdf>","1995-06-17 (same day) Clinton-Yeltsin Meeting <https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2021_C/F-2017-13804/DOC_0C06835181/C06835181.pdf>; 1995-06-12 (-5 days) Your Meeting with Yeltsin in Halifax <https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2021_C/F-2017-13804/DOC_0C06835149/C06835149.pdf>","1995-06-15 (-2 days) Declassified Documents Regarding President Clinton's Trip to Canada, June 15-17, 1995 <https://clinton.presidentiallibraries.us/files/original/794a59781b0879223b941b62869e017b.pdf>","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06835181.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"33","1995-07-28","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","309-313","196-201","196-200","302","10:35-11:39 The President talked on a conference call with Boris N. Yeltsin. pp. 50 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-006-006-2018.pdf>","","","1-VyJatd2iE4fjlYtr3YM6930R3dRVHVU: 950728 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1-VyJatd2iE4fjlYtr3YM6930R3dRVHVU/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 597, Folder Title/Record ID 9505860, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"34","1995-09-27","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","324-326","202-205","202-204","318","10:35-10:53 The President talked on a conference call with Boris N. Yeltsin. pp. 38 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-006-008-2018.pdf>","","","13wiC3-DXoaYOXFvnwFGZ2EoaL39Z6oCh: 950927 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/13wiC3-DXoaYOXFvnwFGZ2EoaL39Z6oCh/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 606, Folder Title/Record ID 9507137, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"35","1995-10-23","Memcon","counted","12","Clinton-Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf","5-16","206-218","206-217","2","","1995-10-23 (same day) Joint Statement With President Yeltsin on Nuclear Materials Security [pp. 1663-1664] <https://www.govinfo.gov/content/pkg/PPP-1995-book2/pdf/PPP-1995-book2-doc-pg1663.pdf>; 1995-10-23 (same day) The President's News Conference With President Boris Yeltsin of Russia in Hyde Park, New York [pp. 1661-1663] <https://www.govinfo.gov/content/pkg/PPP-1995-book2/pdf/PPP-1995-book2-doc-pg1661.pdf>","","C06835137: Clinton-Yeltsin One-on-One (Strobe FOIA copy of the October 23, 1995 Hyde Park one-on-one; duplicate source copy, not counted again.) <https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2021_C/F-2017-13804/DOC_0C06835137/C06835137.pdf>","1995-10-23 (same day) Clinton-Yeltsin One-on-One <https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2021_C/F-2017-13804/DOC_0C06835137/C06835137.pdf>; 1995-10-23 (same day) RUSSIAN PRESIDENTIAL FOREIGN AFFAIRS ADVISOR RYURIKOV: OCTOBER 23 SUMMIT ISSUES <https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698198/C06698198.pdf>; 1995-10-22 (-1 days) Your meeting with Boris Yeltsin (II) <https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2021_C/F-2017-13804/DOC_0C06835150/C06835150.pdf>; 1995-10-22 (-1 days) YOUR MEETING WITH BORIS YELTSIN (II) <https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698066/C06698066.pdf>; 1995-10-20 (-3 days) Your Meeting with Boris Yeltsin <https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2021_C/F-2017-13804/DOC_0C06835175/C06835175.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 43319, Folder Title/Record ID 9507853, National Archives Catalog item 2014-0948-M, Memcon between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545436.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"36","1995-10-23","Memcon","counted","5","Lunch with Boris Yeltsin, President of Russian Federation","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-lunch.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf","31-35","219-224","219-223","19","","1995-10-23 (same day) The President's News Conference With President Boris Yeltsin of Russia in Hyde Park, New York [pp. 1661-1663] <https://www.govinfo.gov/content/pkg/PPP-1995-book2/pdf/PPP-1995-book2-doc-pg1661.pdf>; 1995-10-23 (same day) Joint Statement With President Yeltsin on Nuclear Materials Security [pp. 1663-1664] <https://www.govinfo.gov/content/pkg/PPP-1995-book2/pdf/PPP-1995-book2-doc-pg1663.pdf>","","","1995-10-23 (same day) Clinton-Yeltsin One-on-One <https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2021_C/F-2017-13804/DOC_0C06835137/C06835137.pdf>; 1995-10-23 (same day) RUSSIAN PRESIDENTIAL FOREIGN AFFAIRS ADVISOR RYURIKOV: OCTOBER 23 SUMMIT ISSUES <https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698198/C06698198.pdf>; 1995-10-22 (-1 days) Your meeting with Boris Yeltsin (II) <https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2021_C/F-2017-13804/DOC_0C06835150/C06835150.pdf>; 1995-10-22 (-1 days) YOUR MEETING WITH BORIS YELTSIN (II) <https://foia.state.gov/DOCUMENTS/FOIA_Jul2019_2020/F-2017-13804/DOC_0C06698066/C06698066.pdf>; 1995-10-20 (-3 days) Your Meeting with Boris Yeltsin <https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2021_C/F-2017-13804/DOC_0C06835175/C06835175.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 611, Folder Title/Record ID 9507991, National Archives Catalog item 2014-0948-M, Memcon between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545436.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Review nearby support/context records only after final document selection."
"37","1996-01-26","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","342-346","225-230","225-229","336","10:25; 10:46-11:25 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 48-49 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-006-012-2018.pdf>","1996-01-26 (same day) Statement on Senate Ratification of the START II Nuclear Arms Reduction Treaty With Russia [pp. 104-105] <https://www.govinfo.gov/content/pkg/PPP-1996-book1/pdf/PPP-1996-book1-doc-pg104.pdf>","","1yNha4AfK3kD6rPBPbSwA7RXGD_RLjz_e: 960126 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1yNha4AfK3kD6rPBPbSwA7RXGD_RLjz_e/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1082, Folder Title/Record ID 9600480, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"38","1996-02-21","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","354-357","231-235","231-234","348","10:10; 10:39-11:05 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 36 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-006-013-2018.pdf>","","","1tsAEajB4pmA2K-uxgCE3uIGe3Ek-PSMl: 960221 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1tsAEajB4pmA2K-uxgCE3uIGe3Ek-PSMl/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9601097, Original OA/ID 1086, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"39","1996-03-13","Memcon","counted","4","Meeting with President Boris Yeltsin of Russia, March 13, 1996, Sharm El-Sheikh, Egypt","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-03-13-clinton-yeltsin-sharm-el-sheikh-memcon-cable.pdf","https://drive.google.com/file/d/1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c/view","Google Drive file 1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c, pages 2-5","236-240","236-239","1","","","","1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c: 960313 Cable Memcon with Yeltsin Sharm el-Sheikh Egypt.pdf (Google Drive search match) <https://drive.google.com/file/d/1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c/view>; 1Qr896gBJeiMDZ1hO5PNnmI2OtyAaBMU2: 960313 Clinton and Yeltsin memcon cable.pdf (Google Drive search match) <https://drive.google.com/file/d/1Qr896gBJeiMDZ1hO5PNnmI2OtyAaBMU2/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records: NSC Cable, Email, and Records Management System, Clinton Digital Library item 118876, Clinton Digital Library item 2016-0118-M, Meetings between President Clinton and Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
