priority,workstream,sequence,date,type,selectionTier,selectionScore,pages,title,action,why,blockingIssue,sourceNoteStatus,sourceNoteFlags,facePageStatus,facePageMissingFields,annotationTreatment,readinessBucket,dominantIssues,packetPages,sourcePdfPages,derivativePdfUrl,sourcePacketUrl,reportLinks
"P2","Source-note cleanup backlog","14","1993-12-22","Telcon","Tier 2 - strong candidate","77","4","Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classified-by line not parsed; classification reason not parsed.","","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Economic Reform / Assistance (19); Ukraine / Nuclear Security (14); Russian Politics / Elections (7)","69-73","142-145","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P2","Source-note cleanup backlog","15","1994-01-13","Memcon","Tier 2 - strong candidate","82","6","One-on-One Meeting with President Boris Yeltsin of Russia","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classified-by line not parsed; classification reason not parsed.","","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Economic Reform / Assistance (28); Russian Politics / Elections (11); Iraq / Middle East (5)","74-79","1-6","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/19662f645b0b622a95717322e238c1ec.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P2","Source-note cleanup backlog","27","1994-09-27","Memcon","Tier 2 - strong candidate","86","7","Clinton-Yeltsin one-on-one memcon, September 27, 1994","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classified-by line not parsed; classification reason not parsed.","","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Kosovo / Balkans (16); Economic Reform / Assistance (5); Iraq / Middle East (5)","126-133","213-219","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P2","Source-note cleanup backlog","36","1995-07-28","Telcon","Tier 2 - strong candidate","76","5","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking; classified-by line not parsed; classification reason not parsed.","","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Kosovo / Balkans (13); NATO / European Security (6); Chechnya / Caucasus (5)","196-201","309-313","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P2","Source-note cleanup backlog","40","1996-01-26","Telcon","Tier 2 - strong candidate","71","5","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking.","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Russian Politics / Elections (15); Economic Reform / Assistance (7); Chechnya / Caucasus (6)","225-230","342-346","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P2","Source-note cleanup backlog","41","1996-02-21","Telcon","Tier 2 - strong candidate","72","4","Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classified-by line not parsed.","","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","NATO / European Security (12); Russian Politics / Elections (10); Arms Control / Nonproliferation (9)","231-235","354-357","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P2","Source-note cleanup backlog","53","1997-03-21","Memcon","Tier 2 - strong candidate","82","8","Helsinki Working Lunch with President Boris Yeltsin","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking; classified-by line not parsed.","","Needs source-note review","classification marking; classified-by line not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","NATO / European Security (10); Economic Reform / Assistance (9); Russian Politics / Elections (7)","304-312","116-123","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-working-lunch.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P2","Source-note cleanup backlog","54","1997-03-21","Memcon","Tier 2 - strong candidate","85","4","Helsinki Afternoon Meeting with President Boris Yeltsin","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classified-by line not parsed.","","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","NATO / European Security (14); Economic Reform / Assistance (5); Arms Control / Nonproliferation (4)","313-317","124-127","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P2","Source-note cleanup backlog","55","1997-03-21","Memcon","Tier 2 - strong candidate","95","6","Helsinki Private Dinner with President Boris Yeltsin","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classified-by line not parsed.","","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Iraq / Middle East (15); Ukraine / Nuclear Security (12); NATO / European Security (6)","318-324","128-133","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P2","Source-note cleanup backlog","65","1998-05-17","Memcon","Tier 2 - strong candidate","82","8","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking.","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Arms Control / Nonproliferation (10); Kosovo / Balkans (9); NATO / European Security (5)","383-391","312-319","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P2","Source-note cleanup backlog","79","1999-04-19","Telcon","Tier 2 - strong candidate","90","6","Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking.","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Kosovo / Balkans (33); NATO / European Security (11); Economic Reform / Assistance (2)","446-452","438-443","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P2","Source-note cleanup backlog","89","1999-11-19","Memcon","Tier 2 - strong candidate","74","7","Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking.","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Arms Control / Nonproliferation (12); Chechnya / Caucasus (8); Ukraine / Nuclear Security (7)","510-517","560-566","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P2","Face-page metadata backlog","36","1995-07-28","Telcon","Tier 2 - strong candidate","76","5","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","Review first-page metadata and fill any missing participants, classification, notetaker, interpreter, or date/time/place fields.","Face-page gaps: classification marking.","","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Kosovo / Balkans (13); NATO / European Security (6); Chechnya / Caucasus (5)","196-201","309-313","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","face-page-metadata.html; source-note-element-audit.html"
"P2","Face-page metadata backlog","40","1996-01-26","Telcon","Tier 2 - strong candidate","71","5","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","Review first-page metadata and fill any missing participants, classification, notetaker, interpreter, or date/time/place fields.","Face-page gaps: classification marking.","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Russian Politics / Elections (15); Economic Reform / Assistance (7); Chechnya / Caucasus (6)","225-230","342-346","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","face-page-metadata.html; source-note-element-audit.html"
"P2","Face-page metadata backlog","53","1997-03-21","Memcon","Tier 2 - strong candidate","82","8","Helsinki Working Lunch with President Boris Yeltsin","Review first-page metadata and fill any missing participants, classification, notetaker, interpreter, or date/time/place fields.","Face-page gaps: classification marking.","","Needs source-note review","classification marking; classified-by line not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","NATO / European Security (10); Economic Reform / Assistance (9); Russian Politics / Elections (7)","304-312","116-123","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-working-lunch.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","face-page-metadata.html; source-note-element-audit.html"
"P2","Face-page metadata backlog","65","1998-05-17","Memcon","Tier 2 - strong candidate","82","8","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","Review first-page metadata and fill any missing participants, classification, notetaker, interpreter, or date/time/place fields.","Face-page gaps: classification marking.","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Arms Control / Nonproliferation (10); Kosovo / Balkans (9); NATO / European Security (5)","383-391","312-319","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","face-page-metadata.html; source-note-element-audit.html"
"P2","Face-page metadata backlog","79","1999-04-19","Telcon","Tier 2 - strong candidate","90","6","Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House","Review first-page metadata and fill any missing participants, classification, notetaker, interpreter, or date/time/place fields.","Face-page gaps: classification marking.","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Kosovo / Balkans (33); NATO / European Security (11); Economic Reform / Assistance (2)","446-452","438-443","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","face-page-metadata.html; source-note-element-audit.html"
"P2","Face-page metadata backlog","89","1999-11-19","Memcon","Tier 2 - strong candidate","74","7","Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey","Review first-page metadata and fill any missing participants, classification, notetaker, interpreter, or date/time/place fields.","Face-page gaps: classification marking.","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Arms Control / Nonproliferation (12); Chechnya / Caucasus (8); Ukraine / Nuclear Security (7)","510-517","560-566","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","face-page-metadata.html; source-note-element-audit.html"
"P3","Source-note cleanup backlog","9","1993-06-28","Telcon","Tier 3 - supporting candidate","69","4","Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking; classified-by line not parsed; classification reason not parsed.","","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Economic Reform / Assistance (17); Arms Control / Nonproliferation (6); Iraq / Middle East (5)","41-45","76-79","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","11","1993-09-07","Telcon","Tier 3 - supporting candidate","59","4","Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classified-by line not parsed; classification reason not parsed; declassify-on line not parsed.","","Needs source-note review","classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Ukraine / Nuclear Security (12); Economic Reform / Assistance (7); Arms Control / Nonproliferation (2)","56-60","95-98","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","17","1994-01-14","Memcon","Tier 3 - supporting candidate","66","3","Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classified-by line not parsed; classification reason not parsed; declassify-on line not parsed.","","Needs source-note review","classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Ukraine / Nuclear Security (29); Arms Control / Nonproliferation (3); Economic Reform / Assistance (1)","91-93","State FOIA document C06694499, conversation pages 1-3","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-trilateral-yeltsin-kravchuk.pdf","https://drive.google.com/file/d/1mA2m1fonXTwvzmbdVLzjWV7iGpBWAC1r/view","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","19","1994-01-15","Memcon","Tier 3 - supporting candidate","49","2","One-on-One Meeting with President Boris Yeltsin of Russia","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking; classified-by line not parsed; classification reason not parsed.","","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Economic Reform / Assistance (7); Russian Politics / Elections (3)","102-103","1-2","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-15-memcon-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/67bc3e4fc7cc0ed1ba4f438e510624d8.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","21","1994-04-10","Telcon","Tier 3 - supporting candidate","48","3","Telephone call with President Boris Yeltsin of Russia, April 10, 1994, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking; classified-by line not parsed; classification reason not parsed.","","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","NATO / European Security (5); Kosovo / Balkans (2)","108-111","164-166","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-10-telcon-17.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","22","1994-04-20","Telcon","Tier 3 - supporting candidate","56","4","Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking; classified-by line not parsed; classification reason not parsed.","","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Kosovo / Balkans (6); NATO / European Security (6); Economic Reform / Assistance (4)","112-116","181-184","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","24","1994-06-13","Telcon","Tier 3 - supporting candidate","59","4","Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classified-by line not parsed; classification reason not parsed.","","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Iraq / Middle East (17); Arms Control / Nonproliferation (3); Economic Reform / Assistance (2)","117-121","191-194","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","29","1994-09-28","Memcon","Tier 3 - supporting candidate","50","6","Second Clinton/Yeltsin One-on-One","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed.","","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants; classification marking","Heavy annotation review","Ready to read; source-note review","NATO / European Security (12); Ukraine / Nuclear Security (6); Iraq / Middle East (4)","145-150","3-7,9","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/2509827ca57f98e07eec584b3d69250f.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","30","1994-10-05","Telcon","Tier 3 - supporting candidate","48","4","Telephone call with President Boris Yeltsin, October 5, 1994, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking; classified-by line not parsed; classification reason not parsed.","","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Iraq / Middle East (6); Economic Reform / Assistance (4); Russian Politics / Elections (1)","151-155","227-230","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-05-telcon-24.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","31","1994-10-10","Telcon","Tier 3 - supporting candidate","63","4","Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking; classified-by line not parsed; classification reason not parsed.","","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Iraq / Middle East (22); Economic Reform / Assistance (5); Ukraine / Nuclear Security (2)","156-160","238-241","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","32","1995-02-13","Telcon","Tier 3 - supporting candidate","55","4","Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: participants; notetaker; interpreter; classified-by line not parsed; classification reason not parsed.","","Needs source-note review","participants; notetaker; interpreter; classified-by line not parsed; classification reason not parsed","Review fields","participants; notetaker; interpreter","Heavy annotation review","Ready to read; source-note review","Chechnya / Caucasus (15); Economic Reform / Assistance (12); Russian Politics / Elections (7)","161-165","268-271","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","33","1995-04-27","Telcon","Tier 3 - supporting candidate","64","4","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classified-by line not parsed; classification reason not parsed.","","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","NATO / European Security (16); Arms Control / Nonproliferation (4); Chechnya / Caucasus (3)","166-170","280-283","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","37","1995-09-27","Telcon","Tier 3 - supporting candidate","50","3","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking; classified-by line not parsed; classification reason not parsed.","","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","NATO / European Security (8); Ukraine / Nuclear Security (5); Arms Control / Nonproliferation (4)","202-205","324-326","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","39","1995-10-23","Memcon","Tier 3 - supporting candidate","48","5","Lunch with Boris Yeltsin, President of Russian Federation","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking.","","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","NATO / European Security (1); Ukraine / Nuclear Security (1)","219-224","31-35","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-lunch.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","42","1996-03-13","Memcon","Tier 3 - supporting candidate","56","4","Meeting with President Boris Yeltsin of Russia, March 13, 1996, Sharm El-Sheikh, Egypt","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: declassify-on line not parsed.","","Needs source-note review","declassify-on line not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Russian Politics / Elections (9); Economic Reform / Assistance (2)","236-240","Google Drive file 1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c, pages 2-5","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-03-13-clinton-yeltsin-sharm-el-sheikh-memcon-cable.pdf","https://drive.google.com/file/d/1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c/view","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","43","1996-04-09","Telcon","Tier 3 - supporting candidate","56","5","Telephone call with President Boris Yeltsin of Russia, April 9, 1996, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classified-by line not parsed.","","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Ready to read; source-note review","Ukraine / Nuclear Security (8); Russian Politics / Elections (6); Arms Control / Nonproliferation (5)","241-246","369-373","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-09-telcon-36.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","44","1996-04-21","Memcon","Tier 3 - supporting candidate","65","13","POTUS-Yeltsin One-on-One","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed.","","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants; classification marking","Heavy annotation review","Ready to read; source-note review","Iraq / Middle East (13); Arms Control / Nonproliferation (11); Chechnya / Caucasus (7)","247-260","381-393","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
"P3","Source-note cleanup backlog","46","1996-05-07","Telcon","Tier 3 - supporting candidate","50","4","Telephone call with President Boris Yeltsin of Russia, May 7, 1996, White House","Verify source-note elements and OCR-derived face-page addenda against the derivative PDF.","Source-note flags: classification marking; classified-by line not parsed.","","Needs source-note review","classification marking; classified-by line not parsed","Review fields","classification marking","Heavy annotation review","Ready to read; source-note review","Russian Politics / Elections (10); Chechnya / Caucasus (5); Economic Reform / Assistance (5)","269-273","25-28","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-05-07-telcon-38.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","source-note-element-audit.html; source-note-drafts.html; production-readiness-checklist.html"
