order,date,type,status,actualConversationPages,documentTitle,source,sourcePdfPages,markerPage,localDerivativePdf,sourcePacketUrl,catalogUrl,googleDriveFiles,strobeFiles,frusSourceNote,extractionStatus,compilerAction
"25","1994-07-05","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, July 5, 1994, White House","2015-0782-M-1","202-204","196","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-07-05-telcon-21.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/1EMCFtfaOX3jrb7Pcncsjcij86vCVFqHx/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 477, Folder Title/Record ID 9405387, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 202-204 from 2015-0782-M-1 and appended original marker page 196 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 202-204 from 2015-0782-M-1 and appended original marker page 196 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"26","1994-07-10","Memcon","pending extent","","Meeting with President Boris Yeltsin of Russia, July 10, 1994, Naples Italy","2015-0782-M-1","No released July 10, 1994 Naples memcon pages located in 2015-0782-M-1","","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Pending source problem: no derivative PDF generated because no released July 10, 1994 Naples memcon pages were located in the reviewed Clinton Library packet, Clinton Digital Library/public-record searches, Google Drive, NARA Scout/Catalog, or National Security Archive postings; pages 213-219 have been reassigned to the September 27, 1994 one-on-one memcon.","Pending source problem: no derivative PDF generated because no released July 10, 1994 Naples memcon pages were located in the reviewed Clinton Library packet, Clinton Digital Library/public-record searches, Google Drive, NARA Scout/Catalog, or National Security Archive postings; pages 213-219 have been reassigned to the September 27, 1994 one-on-one memcon."
"27","1994-09-27","Memcon","counted","7","Clinton-Yeltsin one-on-one memcon, September 27, 1994","2015-0782-M-1","213-219","209","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/15MpCXy-fCB8_KdvadCV1ypsw12ejYX3Z/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 481, Folder Title/Record ID 9408090, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual memcon pages 213-219 from 2015-0782-M-1 and appended original marker page 209 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 213-219 from 2015-0782-M-1 and appended original marker page 209 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"28","1994-09-27","Memcon","counted","10","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","2015-0782-M-1","251-260","245","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/13ojhHQejsL_uYgVxz_GHe8u_ponQ_FFj/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 482, Folder Title/Record ID 9408513, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual memcon pages 251-260 from 2015-0782-M-1 and appended original marker page 245 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 251-260 from 2015-0782-M-1 and appended original marker page 245 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"29","1994-09-28","Memcon","counted","6","Second Clinton/Yeltsin One-on-One","clinton-item-101758","3-7,9","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/2509827ca57f98e07eec584b3d69250f.pdf","https://clinton.presidentiallibraries.us/items/show/101758","","","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101758, ""Declassified documents concerning telcon between the President and Boris Yeltsin on September 28, 1994,"" identifier 2018-1215-M; creators National Security Council, NSC European Affairs Office, and Alexander Vershbow; part of National Archives Catalog Description, NAID 7585499; Clinton Presidential Records: White House Staff and Office Files; Declassified Documents collection.","Potential FRUS document: extracted actual memcon pages 3-7,9 from clinton-item-101758; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded. Source pages 1-2 are a duplicate tail fragment and source page 8 is blank; only pages 3-7 and 9 are included in the local derivative PDF.","Potential FRUS document: extracted actual memcon pages 3-7,9 from clinton-item-101758; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded. Source pages 1-2 are a duplicate tail fragment and source page 8 is blank; only pages 3-7 and 9 are included in the local derivative PDF."
"30","1994-10-05","Telcon","counted","4","Telephone call with President Boris Yeltsin, October 5, 1994, White House","2015-0782-M-1","227-230","221","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-05-telcon-24.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","","https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06694711/C06694711.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9408162, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 227-230 from 2015-0782-M-1 and appended original marker page 221 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 227-230 from 2015-0782-M-1 and appended original marker page 221 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"31","1994-10-10","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House","2015-0782-M-1","238-241","233","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/1fClpMfna1KtDo3cWvis5vnkYWBjNRPwD/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 481, Folder Title/Record ID 9408229, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 238-241 from 2015-0782-M-1 and appended original marker page 233 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 238-241 from 2015-0782-M-1 and appended original marker page 233 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"32","1995-02-13","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House","2015-0782-M-1","268-271","263","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/1EgGoQhfX4a7Fq8fEWtIhjUISe6hko4ai/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 564, Folder Title/Record ID 9500995, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 268-271 from 2015-0782-M-1 and appended original marker page 263 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 268-271 from 2015-0782-M-1 and appended original marker page 263 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"33","1995-04-27","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","2015-0782-M-1","280-283","275","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9503572, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 280-283 from 2015-0782-M-1 and appended original marker page 275 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 280-283 from 2015-0782-M-1 and appended original marker page 275 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"34","1995-05-10","Memcon","counted","16","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","2015-0782-M-1","285-300","284","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9503774, Original OA/ID 582, Mandatory Declassification Review 2014-0904-M-Release-A, Declassified documents concerning Russia.","Potential FRUS document: extracted actual memcon pages 285-300 from 2015-0782-M-1 and appended original marker page 284 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 285-300 from 2015-0782-M-1 and appended original marker page 284 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"35","1995-06-17","Memcon","counted","8","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","F-2017-13804","Strobe FOIA document C06835181, conversation pages 1-8","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf","https://therealjameswilson.github.io/strobe-talbott-foia/manifest.html","https://therealjameswilson.github.io/strobe-talbott-foia/manifest.html","","https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2021_C/F-2017-13804/DOC_0C06835181/C06835181.pdf","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06835181.","Potential FRUS document: extracted actual memcon pages Strobe FOIA document C06835181, conversation pages 1-8 from F-2017-13804; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages Strobe FOIA document C06835181, conversation pages 1-8 from F-2017-13804; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded."
"36","1995-07-28","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","2015-0782-M-1","309-313","302","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/1-VyJatd2iE4fjlYtr3YM6930R3dRVHVU/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 597, Folder Title/Record ID 9505860, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 309-313 from 2015-0782-M-1 and appended original marker page 302 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 309-313 from 2015-0782-M-1 and appended original marker page 302 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"37","1995-09-27","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","2015-0782-M-1","324-326","318","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/13wiC3-DXoaYOXFvnwFGZ2EoaL39Z6oCh/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 606, Folder Title/Record ID 9507137, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 324-326 from 2015-0782-M-1 and appended original marker page 318 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 324-326 from 2015-0782-M-1 and appended original marker page 318 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"38","1995-10-23","Memcon","counted","12","Clinton-Yeltsin One-on-One","2014-0948-M","5-16","2","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf","https://catalog.archives.gov/id/163545436","","https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2021_C/F-2017-13804/DOC_0C06835137/C06835137.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 43319, Folder Title/Record ID 9507853, National Archives Catalog item 2014-0948-M, Memcon between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545436.","Potential FRUS document: extracted actual memcon pages 5-16 from 2014-0948-M and appended original marker page 2 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 5-16 from 2014-0948-M and appended original marker page 2 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"39","1995-10-23","Memcon","counted","5","Lunch with Boris Yeltsin, President of Russian Federation","2014-0948-M","31-35","19","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-lunch.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf","https://catalog.archives.gov/id/163545436","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 611, Folder Title/Record ID 9507991, National Archives Catalog item 2014-0948-M, Memcon between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545436.","Potential FRUS document: extracted actual memcon pages 31-35 from 2014-0948-M and appended original marker page 19 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 31-35 from 2014-0948-M and appended original marker page 19 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"40","1996-01-26","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","2015-0782-M-1","342-346","336","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/1yNha4AfK3kD6rPBPbSwA7RXGD_RLjz_e/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1082, Folder Title/Record ID 9600480, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 342-346 from 2015-0782-M-1 and appended original marker page 336 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 342-346 from 2015-0782-M-1 and appended original marker page 336 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"41","1996-02-21","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House","2015-0782-M-1","354-357","348","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/1tsAEajB4pmA2K-uxgCE3uIGe3Ek-PSMl/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9601097, Original OA/ID 1086, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 354-357 from 2015-0782-M-1 and appended original marker page 348 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 354-357 from 2015-0782-M-1 and appended original marker page 348 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"42","1996-03-13","Memcon","counted","4","Meeting with President Boris Yeltsin of Russia, March 13, 1996, Sharm El-Sheikh, Egypt","2016-0118-M-4","Google Drive file 1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c, pages 2-5","1","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-03-13-clinton-yeltsin-sharm-el-sheikh-memcon-cable.pdf","https://drive.google.com/file/d/1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c/view","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c/view | https://drive.google.com/file/d/1Qr896gBJeiMDZ1hO5PNnmI2OtyAaBMU2/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records: NSC Cable, Email, and Records Management System, Clinton Digital Library item 118876, Clinton Digital Library item 2016-0118-M, Meetings between President Clinton and Russian President Boris Yeltsin.","Potential FRUS document: extracted actual memcon pages Google Drive file 1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c, pages 2-5 from 2016-0118-M-4 and appended original marker page 1 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages Google Drive file 1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c, pages 2-5 from 2016-0118-M-4 and appended original marker page 1 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"43","1996-04-09","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, April 9, 1996, White House","2015-0782-M-1","369-373","362","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-09-telcon-36.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/1lGJCeA3FFPSqmmsNnXNA64B6koOy56ZB/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1093, Folder Title/Record ID 9602172, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 369-373 from 2015-0782-M-1 and appended original marker page 362 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 369-373 from 2015-0782-M-1 and appended original marker page 362 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"44","1996-04-21","Memcon","counted","13","POTUS-Yeltsin One-on-One","2015-0782-M-1","381-393","377","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin","https://drive.google.com/file/d/14NhGIMpynoxRlqbrA48-tTTGziPFz-B_/view","https://foia.state.gov/DOCUMENTS/FOIA_Jun2019_2020/F-2017-13804/DOC_0C06697699/C06697699.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 43319, Folder Title/Record ID 9602708, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual memcon pages 381-393 from 2015-0782-M-1 and appended original marker page 377 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 381-393 from 2015-0782-M-1 and appended original marker page 377 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"45","1996-04-21","Memcon","counted","7","Luncheon Meeting with Russian President Boris Yeltsin","2015-0782-M-2","7-13","2","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1jOjVAVkV8IeRD0SJmY4krQCH_Jr1oJQl/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1100, Folder Title/Record ID 9602963, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual memcon pages 7-13 from 2015-0782-M-2 and appended original marker page 2 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 7-13 from 2015-0782-M-2 and appended original marker page 2 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"46","1996-05-07","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, May 7, 1996, White House","2015-0782-M-2","25-28","19","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-05-07-telcon-38.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1C9TLIGhTQ1RQQ6CuX9UG0eQsksrFHvO5/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1101, Folder Title/Record ID 9603149, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 25-28 from 2015-0782-M-2 and appended original marker page 19 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 25-28 from 2015-0782-M-2 and appended original marker page 19 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"47","1996-06-18","Telcon","counted","2","Telephone call with President Boris Yeltsin of Russia, June 18, 1996, White House","2015-0782-M-2","39-40","33","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-06-18-telcon-39.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1WFu5nHDo4uSM89CiS2CvB-vhCG76XUy3/view","https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000056/C09000056.pdf | https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000028/C09000028.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9604219, Original OA/ID 1108, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 39-40 from 2015-0782-M-2 and appended original marker page 33 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 39-40 from 2015-0782-M-2 and appended original marker page 33 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
