sequence,date,type,annotationScore,suggestedTreatment,packetPages,actualConversationPacketPages,title,topTopics,topAuthorities,pddReferences,publicPapers,sourceCopyControls,supportLeads,notetaker,interpreter,dateTimePlace,annotationPrompt,pdfUrl
"30","1995-04-27","Telcon","64","Heavy annotation review","166-170","166-169","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","NATO / European Security (16); Arms Control / Nonproliferation (4); Chechnya / Caucasus (3)","Yeltsin (16); NATO (14); Gore (3); Kozyrev (3); Chernomyrdin (2); Christopher (1)","0","0","0","0","John Beyrle, Kenneth Baldwin, Karen Dragone","Peter Afanasenko","27 April 1995, 9:31 - 10:04am Oval Office","Issue context: NATO / European Security, Arms Control / Nonproliferation, Chechnya / Caucasus. Authority checks: Yeltsin, NATO, Gore, Kozyrev, Chernomyrdin, Christopher.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf"
"28","1994-10-10","Telcon","63","Heavy annotation review","156-160","156-159","Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House","Iraq / Middle East (22); Economic Reform / Assistance (5); Ukraine / Nuclear Security (2)","Yeltsin (12); Kozyrev (6); Christopher (3); Chernomyrdin (2); Primakov (2); Kohl (1)","1","0","1","1","Jessica Stern","Dimitry Zarechnak","October 10, 1993, 12:15 - 12:40pm Oval Office","Issue context: Iraq / Middle East, Economic Reform / Assistance, Ukraine / Nuclear Security. Authority checks: Yeltsin, Kozyrev, Christopher, Chernomyrdin, Primakov, Kohl. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf"
"72","1998-12-30","Telcon","62","Heavy annotation review","435-439","435-439","Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House","Economic Reform / Assistance (15); Arms Control / Nonproliferation (9); Iraq / Middle East (8)","Yeltsin (7); IMF (6); Primakov (6); NATO (5); Gore (2); UN (2)","0","0","0","0","David Higgins, Matt Sibley, Doug Bayley, Jim Smith","Dmitry Zarechnak","December 30, 1998, 10:00-10:33 a.m., Oval Of ce","Issue context: Economic Reform / Assistance, Arms Control / Nonproliferation, Iraq / Middle East. Authority checks: Yeltsin, IMF, Primakov, NATO, Gore, UN.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf"
"80","1999-06-13","Telcon","60","Heavy annotation review","481-488","481-487","Telephone call with President Boris Yeltsin of Russia, June 13, 1999, White House","Kosovo / Balkans (24)","Yeltsin (24); UN (4); Albright (1); Berger (1); Gore (1); Ivanov (1)","0","0","1","0","Joel Schrader, Jenny McGee, Miles Murphy, and Doug Bayley","Nikolai Sorokin","June 13, 1999, 9:07 - 10:05 a.m. Oval Office","Issue context: Kosovo / Balkans. Authority checks: Yeltsin, UN, Albright, Berger, Gore, Ivanov. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-13-telcon-75.pdf"
"10","1993-09-07","Telcon","59","Heavy annotation review","56-60","56-59","Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House","Ukraine / Nuclear Security (12); Economic Reform / Assistance (7); Arms Control / Nonproliferation (2)","Yeltsin (17); Chernomyrdin (4); Kozyrev (3); Kravchuk (3); Gore (2); Christopher (1)","1","1","1","0","Beth Banner","Demitry Zarechnak","September 7, 1993, 11:40am - 12:10pm Oval Office","Issue context: Ukraine / Nuclear Security, Economic Reform / Assistance, Arms Control / Nonproliferation. Authority checks: Yeltsin, Chernomyrdin, Kozyrev, Kravchuk, Gore, Christopher. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf"
"22","1994-06-13","Telcon","59","Heavy annotation review","117-121","117-120","Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House","Iraq / Middle East (17); Arms Control / Nonproliferation (3); Economic Reform / Assistance (2)","Yeltsin (17); Christopher (5); Kozyrev (5); G-7 (2); UN (2)","1","0","1","0","Steven Aoki","Dimitry Zarechnak","11 June 1994, 1:24 (EDT) The White House President Clinton: Hello","Issue context: Iraq / Middle East, Arms Control / Nonproliferation, Economic Reform / Assistance. Authority checks: Yeltsin, Christopher, Kozyrev, G-7, UN. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf"
"73","1999-03-24","Telcon","57","Heavy annotation review","440-445","440-444","Telephone call with President Boris Yeltsin of Russia, March 24, 1999, White House","Kosovo / Balkans (18); Russian Politics / Elections (4); Ukraine / Nuclear Security (3)","Yeltsin (10); Milosevic (9); Ivanov (1); NATO (1); Primakov (1)","1","3","0","0","Jenny McGee, Miles Murphy, Joel Schrader, James Smith, Andrew Weiss","Yuri Shkeyrov","March 24, 1998, 9:20 - 9:56 a.m. Oval Office","Issue context: Kosovo / Balkans, Russian Politics / Elections, Ukraine / Nuclear Security. Authority checks: Yeltsin, Milosevic, Ivanov, NATO, Primakov. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-03-24-telcon-68.pdf"
"21","1994-04-20","Telcon","56","Heavy annotation review","112-116","112-115","Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House","Kosovo / Balkans (6); NATO / European Security (6); Economic Reform / Assistance (4)","Yeltsin (12); UN (10); NATO (6); Kozyrev (3); Christopher (2); Kohl (1)","1","0","1","0","Rick Waddell","Dimitry Zarechnak","April 20, 1994; 2:25 - 3:05pm Oval Office","Issue context: Kosovo / Balkans, NATO / European Security, Economic Reform / Assistance. Authority checks: Yeltsin, UN, NATO, Kozyrev, Christopher, Kohl. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf"
"39","1996-03-13","Memcon","56","Heavy annotation review","236-240","236-239","Meeting with President Boris Yeltsin of Russia, March 13, 1996, Sharm El-Sheikh, Egypt","Russian Politics / Elections (9); Economic Reform / Assistance (2)","Yeltsin (27); Primakov (6); Christopher (3); Chernomyrdin (2); Gore (2); Talbott (1)","0","0","2","0","","","March 13, 1996, Sharm El-Sheikh, Egypt","Issue context: Russian Politics / Elections, Economic Reform / Assistance. Authority checks: Yeltsin, Primakov, Christopher, Chernomyrdin, Gore, Talbott. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-03-13-clinton-yeltsin-sharm-el-sheikh-memcon-cable.pdf"
"40","1996-04-09","Telcon","56","Heavy annotation review","241-246","241-245","Telephone call with President Boris Yeltsin of Russia, April 9, 1996, White House","Ukraine / Nuclear Security (8); Russian Politics / Elections (6); Arms Control / Nonproliferation (5)","Yeltsin (19); G-7 (3); Primakov (3); Christopher (2); Talbott (1); Zyuganov (1)","0","0","1","2","Deuce Martinez, Daniel Flessas, Karen Dragone, James Goldgeier, Carlos Pascual, Steve Pifer","Peter Afanasenko","April 9, 1996, 8:05-8:45 a.m. EDT Oval Office PRESIDENT CLINTON: Hello, Boris? (U)","Issue context: Ukraine / Nuclear Security, Russian Politics / Elections, Arms Control / Nonproliferation. Authority checks: Yeltsin, G-7, Primakov, Christopher, Talbott, Zyuganov. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-09-telcon-36.pdf"
"67","1998-07-10","Telcon","56","Heavy annotation review","410-414","410-413","Telephone call with President Boris Yeltsin of Russia, July 10, 1998, White House","Russian Politics / Elections (10); Economic Reform / Assistance (7); Iraq / Middle East (3)","Yeltsin (17); IMF (5); Berger (2)","1","0","2","2","Jim Smith, Jeff Rathke, Lyle Harrison, Doug Baylel, Andrew Weiss","Dimitry Zarechnak","July 10, 1998, 1:19 p.m. - 1:38 p.m. EDT, Oval Office","Issue context: Russian Politics / Elections, Economic Reform / Assistance, Iraq / Middle East. Authority checks: Yeltsin, IMF, Berger. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-07-10-telcon-60.pdf"
"29","1995-02-13","Telcon","55","Heavy annotation review","161-165","161-164","Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House","Chechnya / Caucasus (15); Economic Reform / Assistance (12); Russian Politics / Elections (7)","Yeltsin (15); Kohl (2)","1","0","1","0","","","February 13, 1995, 1:03-1:25 p.m. Oval Office","Issue context: Chechnya / Caucasus, Economic Reform / Assistance, Russian Politics / Elections. Authority checks: Yeltsin, Kohl. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf"
"48","1997-02-27","Telcon","54","Heavy annotation review","288-291","288-290","Telephone call with President Boris Yeltsin of Russia, February 27, 1997, White House","NATO / European Security (16); Arms Control / Nonproliferation (11); Economic Reform / Assistance (3)","Yeltsin (10); Chernomyrdin (3); NATO (3); Gore (2); Albright (1); Talbott (1)","0","0","1","0","Elaine Florio, Katherine O'Loughlin, Wylma Robinson, David Higgins, Ki Fort","Peter Afanasenko","February 27, 1997, 11:51 a.m.-12:09 p.m. The Oval Office","Issue context: NATO / European Security, Arms Control / Nonproliferation, Economic Reform / Assistance. Authority checks: Yeltsin, Chernomyrdin, NATO, Gore, Albright, Talbott. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-02-27-telcon-43.pdf"
"61","1998-05-12","Telcon","54","Heavy annotation review","377-382","377-381","Telephone call with President Boris Yeltsin of Russia, May 12, 1998, White House","Arms Control / Nonproliferation (13); Ukraine / Nuclear Security (6); Kosovo / Balkans (5)","Yeltsin (17); Berger (2); Talbott (1)","1","0","2","1","Larry Wright, Tom Crowell, Bonnie Click, James Smith, Sean Rice, Ki Fort, Jon Elkind","Dimitry Zarechnak","May 12, 1998, 11:01 - 11:27 EDT Oval Office","Issue context: Arms Control / Nonproliferation, Ukraine / Nuclear Security, Kosovo / Balkans. Authority checks: Yeltsin, Berger, Talbott. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-12-telcon-53.pdf"
"26","1994-09-28","Memcon","50","Heavy annotation review","145-150","145-150","Second Clinton/Yeltsin One-on-One","NATO / European Security (12); Ukraine / Nuclear Security (6); Iraq / Middle East (4)","NATO (11); UN (7); Talbott (3); Yeltsin (2); Kohl (1)","0","2","0","0","","","September 28, 1994, 1:00-2:30 p.m.","Issue context: NATO / European Security, Ukraine / Nuclear Security, Iraq / Middle East. Authority checks: NATO, UN, Talbott, Yeltsin, Kohl. Compare same-day/nearby Public Papers for public framing.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf"
"34","1995-09-27","Telcon","50","Heavy annotation review","202-205","202-204","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","NATO / European Security (8); Ukraine / Nuclear Security (5); Arms Control / Nonproliferation (4)","Yeltsin (17); NATO (6); Chernomyrdin (2); Gore (1); Kozyrev (1)","1","0","1","0","Steve Pifer, Paul Weber, Deuce Martinez, Katherine O'Loughlin, Trey Whitworth","Peter Afanasenko","September 27, 1995, 10:35-11:53 a.m. EDT Oval Office","Issue context: NATO / European Security, Ukraine / Nuclear Security, Arms Control / Nonproliferation. Authority checks: Yeltsin, NATO, Chernomyrdin, Gore, Kozyrev. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf"
"43","1996-05-07","Telcon","50","Heavy annotation review","269-273","269-272","Telephone call with President Boris Yeltsin of Russia, May 7, 1996, White House","Russian Politics / Elections (10); Chechnya / Caucasus (5); Economic Reform / Assistance (5)","Yeltsin (18); IMF (3); Chernomyrdin (1)","1","0","1","1","James Goldgeier, Carlos Pascual, Steve Pifer","Dmitriy Zarechnak","May 7, 1996, 8:34-8:55 a.m. EDT, Oval Office ","Issue context: Russian Politics / Elections, Chechnya / Caucasus, Economic Reform / Assistance. Authority checks: Yeltsin, IMF, Chernomyrdin. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-05-07-telcon-38.pdf"
"70","1998-09-12","Telcon","50","Heavy annotation review","427-431","427-430","Telephone call with President Boris Yeltsin of Russia, September 12, 1998, White House","Economic Reform / Assistance (8); Russian Politics / Elections (4); Iraq / Middle East (1)","Primakov (15); Yeltsin (10); Gore (2); Ivanov (2); Albright (1); Berger (1)","1","0","1","0","Bonnie Click, Liz Rogers, Cindy Lawrence, Matt Sibley, Joel Schrader","Dmitry Zarechnak","September 12, 1998, 11:32 - 11:59 a.m. EDT; Oval Office","Issue context: Economic Reform / Assistance, Russian Politics / Elections, Iraq / Middle East. Authority checks: Primakov, Yeltsin, Gore, Ivanov, Albright, Berger. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-09-12-telcon-64.pdf"
"18","1994-01-15","Memcon","49","Heavy annotation review","102-103","102-103","One-on-One Meeting with President Boris Yeltsin of Russia","Economic Reform / Assistance (7); Russian Politics / Elections (3)","Yeltsin (25); G-7 (3); IMF (1)","0","3","0","2","","","January 15, 1994, 9:00 - 9:20am The Kremlin The President started the conversation by saying that before he came to Moscow, he had worked hard with the G-7 to achieve the three aims which the U.S. and Russia shared: first, to get the next 1.5 billion dollars from the IMF to Russia; second, to get some debt relief (restructuring); third, to get flexibility in the conditions set by the international financial institutions for setting conditions for aid. The G-7 nations agreed to this if the President would push for reforms in Russia, since they believed that President Yeltsin was committed to these reforms. President Clinton said that he had asked for today's meeting with President Yeltsin because President Yeltsin had told him on the previous day that there would be some changes in personnel in his government related to economic positions. For example, Gaidar would lead the party of reformers in the parliament. This was, of course, for President Yeltsin, not President Clinton, to decide, and President Clinton had come to better understand during the days he had just spent in Moscow, talking to the people in the streets and in the TV studio, the political pressures facing President Yeltsin. President Yeltsin only wished that as President Yeltsin worked through these issues in the coming days, he would think about what President Clinton was saying. (^ President Clinton said President Yeltsin's decision could have an impact on all the individuals who were committed to achieving the desired goals for Russia. President Clinton's credibility was connected to President Yeltsin's indication that he would continue the reforms, which were linked to a specific team of people. Perhaps this would change, but the impression was that ~6ECRE¥- Declassify on: OADR ccrocn-","Issue context: Economic Reform / Assistance, Russian Politics / Elections. Authority checks: Yeltsin, G-7, IMF. Compare same-day/nearby Public Papers for public framing.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-15-memcon-one-on-one.pdf"
"60","1998-04-06","Telcon","49","Heavy annotation review","371-376","371-375","Telephone call with President Boris Yeltsin of Russia, April 6, 1998, White House","Arms Control / Nonproliferation (8); Kosovo / Balkans (8); Iraq / Middle East (4)","Yeltsin (14); Milosevic (3); Gore (2); Primakov (2); Albright (1); Chernomyrdin (1)","0","0","2","0","Larry Wright, Bob Ford, Anthony Campanella, George Chastain, James Smith","(.Peter Afanasenko","April 6, 1998, 10:01-10:28 EDT Oval Office","Issue context: Arms Control / Nonproliferation, Kosovo / Balkans, Iraq / Middle East. Authority checks: Yeltsin, Milosevic, Gore, Primakov, Albright, Chernomyrdin. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-04-06-telcon-52.pdf"
"20","1994-04-10","Telcon","48","Heavy annotation review","108-111","108-110","Telephone call with President Boris Yeltsin of Russia, April 10, 1994, White House","NATO / European Security (5); Kosovo / Balkans (2)","UN (13); Yeltsin (12); NATO (5); Kozyrev (2); Milosevic (2); Christopher (1)","1","0","1","0","Kevin Wooton, William Spencer","Dimitri Zarechnak","April 10, 1994; Call began at 2315 EDT, terminated at 2338 EDT. The White House","Issue context: NATO / European Security, Kosovo / Balkans. Authority checks: UN, Yeltsin, NATO, Kozyrev, Milosevic, Christopher. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-10-telcon-17.pdf"
"27","1994-10-05","Telcon","48","Heavy annotation review","151-155","151-154","Telephone call with President Boris Yeltsin, October 5, 1994, White House","Iraq / Middle East (6); Economic Reform / Assistance (4); Russian Politics / Elections (1)","Yeltsin (13); Chernomyrdin (7); Gore (4); Christopher (1); Kozyrev (1); Primakov (1)","1","0","1","2","Jessica Stern","Dimitry Zarechnak","October 5, 1993, 10:30-11:00am, Oval Office","Issue context: Iraq / Middle East, Economic Reform / Assistance, Russian Politics / Elections. Authority checks: Yeltsin, Chernomyrdin, Gore, Christopher, Kozyrev, Primakov. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-05-telcon-24.pdf"
"36","1995-10-23","Memcon","48","Heavy annotation review","219-224","219-223","Lunch with Boris Yeltsin, President of Russian Federation","NATO / European Security (1); Ukraine / Nuclear Security (1)","Yeltsin (27); Kozyrev (2); Christopher (1); NATO (1); Talbott (1)","0","2","0","5","","","October 23, 1995; 1:30 p.m.-2:40 p.m. Dining Room, Hyde Park Library, Hyde Park, New York","Issue context: NATO / European Security, Ukraine / Nuclear Security. Authority checks: Yeltsin, Kozyrev, Christopher, NATO, Talbott. Compare same-day/nearby Public Papers for public framing.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-lunch.pdf"
"64","1998-05-28","Telcon","48","Heavy annotation review","396-400","396-399","Telephone call with President Boris Yeltsin of Russia, May 28, 1998, White House","Economic Reform / Assistance (15); Russian Politics / Elections (1); Ukraine / Nuclear Security (1)","Yeltsin (12); IMF (6); Albright (1); Primakov (1); UN (1)","1","0","2","1","Cindy Lawrence","Kyrill Borissow","May 28, 1998, 11:53 a.m. - 12:14 p.m. EDT, Oval Office","Issue context: Economic Reform / Assistance, Russian Politics / Elections, Ukraine / Nuclear Security. Authority checks: Yeltsin, IMF, Albright, Primakov, UN. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-28-telcon-56.pdf"
"57","1997-11-22","Telcon","46","Heavy annotation review","354-360","354-359","Telephone call with President Boris Yeltsin of Russia, November 22, 1997, White House","Iraq / Middle East (10); Arms Control / Nonproliferation (7); Russian Politics / Elections (5)","Yeltsin (12); Primakov (3); Albright (2); UN (1)","1","0","1","0","Lyle Harrison, Jeff Rathke, Cindy Lawrence, Ki Fort","Dimitry Zarechnak","November 22, 1997, 9:00 - 9:43 a.m. EST TU^D PLACE: Oval Office","Issue context: Iraq / Middle East, Arms Control / Nonproliferation, Russian Politics / Elections. Authority checks: Yeltsin, Primakov, Albright, UN. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-22-telcon-49.pdf"
"76","1999-05-02","Telcon","45","Heavy annotation review","466-470","466-469","Telephone call with President Boris Yeltsin of Russia, May 2, 1999, White House","Kosovo / Balkans (5)","Yeltsin (16); Chernomyrdin (8); Gore (5); Milosevic (1)","1","1","1","1","Tony Campanella, Elizabeth Rogers, Michael Manning, Sean Tarver, Andrew Weiss","Peter Afanasenko","May 2, 1999, 10:18 - 10:31 a.m. EDT, Residence","Issue context: Kosovo / Balkans. Authority checks: Yeltsin, Chernomyrdin, Gore, Milosevic. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-05-02-telcon-71.pdf"
"78","1999-06-08","Telcon","45","Heavy annotation review","474-477","474-476","Telephone call with President Boris Yeltsin of Russia, June 8, 1999, White House","Kosovo / Balkans (9); NATO / European Security (1)","Yeltsin (7); Chernomyrdin (5); Ivanov (5); Milosevic (5); UN (4); NATO (1)","1","2","0","0","Bonnie Click, Sean Tarver, Roger Merletti, Don Cheramie","Nikolai Sorokin","June 8, 1999, 8:58 - 9:13 a.m., EST Oval Office","Issue context: Kosovo / Balkans, NATO / European Security. Authority checks: Yeltsin, Chernomyrdin, Ivanov, Milosevic, UN, NATO. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-08-telcon-73.pdf"
"83","1999-09-08","Telcon","45","Heavy annotation review","504-509","504-508","Telephone call with President Boris Yeltsin of Russia, September 8, 1999, White House","Arms Control / Nonproliferation (19); Chechnya / Caucasus (3); Russian Politics / Elections (3)","Yeltsin (12); Ivanov (2); Albright (1); Gore (1); Talbott (1); UN (1)","0","0","1","0","","","September 8, 1999, 11:42 a.m. - 12:21 p.m., OEOB","Issue context: Arms Control / Nonproliferation, Chechnya / Caucasus, Russian Politics / Elections. Authority checks: Yeltsin, Ivanov, Albright, Gore, Talbott, UN. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-09-08-telcon-78.pdf"
"58","1998-02-02","Telcon","44","Standard annotation review","361-365","361-364","Telephone call with President Boris Yeltsin of Russia, February 2, 1998, White House","Iraq / Middle East (15); Arms Control / Nonproliferation (1); Russian Politics / Elections (1)","Yeltsin (13); Primakov (3); Albright (2); Chernomyrdin (2); Gore (1)","1","0","1","0","Jim Smith, Pat O'Shaughnessy, Jeff Rathke, Cindy Lawrence, Ki Fort, Bill Courtney","Dimitri Zarechnak","February 2, 1998, 9:31-9:51 a.m. EST The White House","Issue context: Iraq / Middle East, Arms Control / Nonproliferation, Russian Politics / Elections. Authority checks: Yeltsin, Primakov, Albright, Chernomyrdin, Gore. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-02-telcon-50.pdf"
"71","1998-10-05","Telcon","43","Standard annotation review","432-434","432-434","Telephone call with President Boris Yeltsin of Russia, October 5, 1998, White House","Kosovo / Balkans (22); NATO / European Security (1)","Yeltsin (8); Milosevic (5); Ivanov (1); NATO (1); UN (1)","1","0","0","0","Tony Campariella, Liz Rogers, Robin Rickard, Joel Schrader, Chris Bell","Peter Afanasenko","October 5, 1998, 12:01 - 12:18 p.m. EDT, Oval Office","Issue context: Kosovo / Balkans, NATO / European Security. Authority checks: Yeltsin, Milosevic, Ivanov, NATO, UN. Use Daily Diary row to verify timing/setting.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-10-05-clinton-yeltsin-telcon-actual-pages.pdf"
"59","1998-02-23","Telcon","42","Standard annotation review","366-370","366-369","Telephone call with President Boris Yeltsin of Russia, February 23, 1998, White House","Iraq / Middle East (7); Arms Control / Nonproliferation (6); Russian Politics / Elections (3)","Yeltsin (16); Primakov (2); UN (2)","0","0","1","1","Pat O'Shaughnessy, Tom Corwell, Bonnie Click, Jeff Rathke, Jim Smith, Rexon Ryu, Ki Fort","Peter Afansenko","February 23, 1998, 11:01 - 11:17 a.m. EST The White House","Issue context: Iraq / Middle East, Arms Control / Nonproliferation, Russian Politics / Elections. Authority checks: Yeltsin, Primakov, UN. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-23-telcon-51.pdf"
"69","1998-08-25","Telcon","39","Standard annotation review","422-426","422-425","Telephone call with President Boris Yeltsin of Russia, August 25, 1998, Martha's Vineyard, Massachusetts","Iraq / Middle East (7); Kosovo / Balkans (4); Arms Control / Nonproliferation (3)","Yeltsin (14); Chernomyrdin (2); Gore (2); Milosevic (1); UN (1)","0","0","1","1","","Dmitry Zarechnak Note Takers: Larry Wright, Matt Sibley, Jonathan Elkind, Andrew Weiss","August 25, 1998, 9:39 a.m. - 10:08 a.m. EDT Martha's Vineyard","Issue context: Iraq / Middle East, Kosovo / Balkans, Arms Control / Nonproliferation. Authority checks: Yeltsin, Chernomyrdin, Gore, Milosevic, UN. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-25-telcon-62.pdf"
"2","1993-02-10","Telcon","37","Standard annotation review","5-8","5-7","Telephone call with President Boris Yeltsin of Russia, February 10, 1993, White House","Kosovo / Balkans (7); NATO / European Security (3); Iraq / Middle East (1)","Yeltsin (7); UN (4); Christopher (3); Kozyrev (3); NATO (3); Milosevic (2)","0","0","1","0","Nicholas Burns","Dmitri Zarechnak","February 10, 1993, 1:51 - 2:14pm Oval Office","Issue context: Kosovo / Balkans, NATO / European Security, Iraq / Middle East. Authority checks: Yeltsin, UN, Christopher, Kozyrev, NATO, Milosevic. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-02-10-telcon-02.pdf"
"19","1994-02-20","Telcon","37","Standard annotation review","104-107","104-106","Telephone call with President Boris Yeltsin of Russia, February 20, 1994, White House White House","Kosovo / Balkans (6); NATO / European Security (1)","Yeltsin (12); Kohl (3); Milosevic (3); UN (2); Christopher (1); Kozyrev (1)","1","1","1","0","Katherine O'Loughlin","Galina Tunik-Rosniansky","February 20, 1994; l:27-l:47pm EST The Oval Office","Issue context: Kosovo / Balkans, NATO / European Security. Authority checks: Yeltsin, Kohl, Milosevic, UN, Christopher, Kozyrev. Compare same-day/nearby Public Papers for public framing. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-02-20-telcon-16.pdf"
"44","1996-06-18","Telcon","37","Standard annotation review","274-276","274-275","Telephone call with President Boris Yeltsin of Russia, June 18, 1996, White House","Russian Politics / Elections (4); Economic Reform / Assistance (2); NATO / European Security (1)","Yeltsin (12); Chernomyrdin (1); NATO (1)","0","1","3","3","James Goldgeier, Carlos Pascual","Peter Afanasenko","June 18, 1996, 9:02-9:12 a.m. EDT, Residence ","Issue context: Russian Politics / Elections, Economic Reform / Assistance, NATO / European Security. Authority checks: Yeltsin, Chernomyrdin, NATO. Compare same-day/nearby Public Papers for public framing. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-06-18-telcon-39.pdf"
"45","1996-07-05","Telcon","37","Standard annotation review","277-280","277-279","Telephone call with President Boris Yeltsin of Russia, July 5, 1996, White House","Russian Politics / Elections (5); Arms Control / Nonproliferation (2); NATO / European Security (1)","Yeltsin (10); Chernomyrdin (4); Gore (4); Christopher (1); Kohl (1); NATO (1)","1","0","1","1","Carlos Pascual, James Goldgeier, Evan Reade, Peter Huggins, Katherine O'Loughlin, Deuce Martinez","Nik Sorokin","July 5, 1996, 9:05-9:27 a.m. EDT, Residence ","Issue context: Russian Politics / Elections, Arms Control / Nonproliferation, NATO / European Security. Authority checks: Yeltsin, Chernomyrdin, Gore, Christopher, Kohl, NATO. Use Daily Diary row to verify timing/setting. Check duplicate/source-copy controls before final citation.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-07-05-telcon-40.pdf"
