sequence,date,type,status,selectionTier,selectionScore,actualConversationPages,packetPages,title,dominantIssues,authorityChecks,pddReferences,publicPapers,sourceCopyControls,supportLeads,annotationTreatment,rationale,suggestedTreatment,decisionRemaining,sourcePdfPages,pdfUrl,sourcePacketUrl,frusSourceNote
"28","1994-09-27","Memcon","counted","Tier 1 - likely core","146","10","134-144","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","Ukraine / Nuclear Security (43); Arms Control / Nonproliferation (42); Iraq / Middle East (3)","Yeltsin (31); Christopher (7); Kozyrev (6); Gore (1); Milosevic (1)","0","4","1","1","Heavy annotation review","Heavy annotation review; public framing available; source-copy control; support/context leads","Read first; strong candidate for full document treatment unless displaced by final thematic balance.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","251-260","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 482, Folder Title/Record ID 9408513, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"29","1994-09-28","Memcon","counted","Tier 3 - supporting candidate","50","6","145-150","Second Clinton/Yeltsin One-on-One","NATO / European Security (12); Ukraine / Nuclear Security (6); Iraq / Middle East (4)","NATO (11); UN (7); Talbott (3); Yeltsin (2); Kohl (1)","0","2","0","0","Heavy annotation review","Heavy annotation review; public framing available","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","3-7,9","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/2509827ca57f98e07eec584b3d69250f.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101758, ""Declassified documents concerning telcon between the President and Boris Yeltsin on September 28, 1994,"" identifier 2018-1215-M; creators National Security Council, NSC European Affairs Office, and Alexander Vershbow; part of National Archives Catalog Description, NAID 7585499; Clinton Presidential Records: White House Staff and Office Files; Declassified Documents collection."
"30","1994-10-05","Telcon","counted","Tier 3 - supporting candidate","48","4","151-155","Telephone call with President Boris Yeltsin, October 5, 1994, White House","Iraq / Middle East (6); Economic Reform / Assistance (4); Russian Politics / Elections (1)","Yeltsin (13); Chernomyrdin (7); Gore (4); Christopher (1); Kozyrev (1); Primakov (1)","1","0","1","2","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control; support/context leads","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","227-230","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-05-telcon-24.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9408162, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"31","1994-10-10","Telcon","counted","Tier 3 - supporting candidate","63","4","156-160","Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House","Iraq / Middle East (22); Economic Reform / Assistance (5); Ukraine / Nuclear Security (2)","Yeltsin (12); Kozyrev (6); Christopher (3); Chernomyrdin (2); Primakov (2); Kohl (1)","1","0","1","1","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control; support/context leads","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","238-241","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 481, Folder Title/Record ID 9408229, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"32","1995-02-13","Telcon","counted","Tier 3 - supporting candidate","55","4","161-165","Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House","Chechnya / Caucasus (15); Economic Reform / Assistance (12); Russian Politics / Elections (7)","Yeltsin (15); Kohl (2)","1","0","1","0","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","268-271","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 564, Folder Title/Record ID 9500995, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"33","1995-04-27","Telcon","counted","Tier 3 - supporting candidate","64","4","166-170","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","NATO / European Security (16); Arms Control / Nonproliferation (4); Chechnya / Caucasus (3)","Yeltsin (16); NATO (14); Gore (3); Kozyrev (3); Chernomyrdin (2); Christopher (1)","0","0","0","0","Heavy annotation review","Heavy annotation review","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","280-283","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9503572, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"34","1995-05-10","Memcon","counted","Tier 1 - likely core","195","16","171-187","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","NATO / European Security (67); Iraq / Middle East (17); Ukraine / Nuclear Security (16)","NATO (41); Gore (12); Yeltsin (11); Chernomyrdin (8); Kozyrev (3); G-7 (2)","1","7","0","1","Heavy annotation review","Heavy annotation review; PDD timing check; public framing available; support/context leads","Read first; strong candidate for full document treatment unless displaced by final thematic balance.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","285-300","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9503774, Original OA/ID 582, Mandatory Declassification Review 2014-0904-M-Release-A, Declassified documents concerning Russia."
"35","1995-06-17","Memcon","counted","Tier 2 - strong candidate","76","8","188-195","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","NATO / European Security (18); Ukraine / Nuclear Security (9); Chechnya / Caucasus (8)","NATO (13); Yeltsin (6); Chernomyrdin (4); Gore (4); UN (3); Christopher (1)","0","1","1","3","Heavy annotation review","Heavy annotation review; public framing available; source-copy control; support/context leads","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","Strobe FOIA document C06835181, conversation pages 1-8","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf","https://therealjameswilson.github.io/strobe-talbott-foia/manifest.html","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06835181."
"36","1995-07-28","Telcon","counted","Tier 2 - strong candidate","76","5","196-201","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","Kosovo / Balkans (13); NATO / European Security (6); Chechnya / Caucasus (5)","Yeltsin (17); Kozyrev (7); Milosevic (7); UN (7); NATO (6); Kohl (2)","1","0","1","0","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","309-313","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 597, Folder Title/Record ID 9505860, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"37","1995-09-27","Telcon","counted","Tier 3 - supporting candidate","50","3","202-205","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","NATO / European Security (8); Ukraine / Nuclear Security (5); Arms Control / Nonproliferation (4)","Yeltsin (17); NATO (6); Chernomyrdin (2); Gore (1); Kozyrev (1)","1","0","1","0","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","324-326","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 606, Folder Title/Record ID 9507137, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"38","1995-10-23","Memcon","counted","Tier 2 - strong candidate","97","12","206-218","Clinton-Yeltsin One-on-One","NATO / European Security (21); Ukraine / Nuclear Security (7); Arms Control / Nonproliferation (5)","NATO (18); Yeltsin (15); Gore (5); Chernomyrdin (4); Tudjman (4); Milosevic (2)","0","2","1","5","Heavy annotation review","Heavy annotation review; public framing available; source-copy control; support/context leads","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","5-16","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 43319, Folder Title/Record ID 9507853, National Archives Catalog item 2014-0948-M, Memcon between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545436."
"39","1995-10-23","Memcon","counted","Tier 3 - supporting candidate","48","5","219-224","Lunch with Boris Yeltsin, President of Russian Federation","NATO / European Security (1); Ukraine / Nuclear Security (1)","Yeltsin (27); Kozyrev (2); Christopher (1); NATO (1); Talbott (1)","0","2","0","5","Heavy annotation review","Heavy annotation review; public framing available; support/context leads","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","31-35","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-lunch.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 611, Folder Title/Record ID 9507991, National Archives Catalog item 2014-0948-M, Memcon between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545436."
"40","1996-01-26","Telcon","counted","Tier 2 - strong candidate","71","5","225-230","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","Russian Politics / Elections (15); Economic Reform / Assistance (7); Chechnya / Caucasus (6)","Yeltsin (20); NATO (6); Chernomyrdin (4); Gore (2); IMF (2); Christopher (1)","1","1","1","0","Heavy annotation review","Heavy annotation review; PDD timing check; public framing available; source-copy control","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","342-346","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1082, Folder Title/Record ID 9600480, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"41","1996-02-21","Telcon","counted","Tier 2 - strong candidate","72","4","231-235","Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House","NATO / European Security (12); Russian Politics / Elections (10); Arms Control / Nonproliferation (9)","Yeltsin (18); NATO (9); Chernomyrdin (3); Christopher (2); Primakov (2); Gore (1)","1","0","1","0","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","354-357","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9601097, Original OA/ID 1086, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"42","1996-03-13","Memcon","counted","Tier 3 - supporting candidate","56","4","236-240","Meeting with President Boris Yeltsin of Russia, March 13, 1996, Sharm El-Sheikh, Egypt","Russian Politics / Elections (9); Economic Reform / Assistance (2)","Yeltsin (27); Primakov (6); Christopher (3); Chernomyrdin (2); Gore (2); Talbott (1)","0","0","2","0","Heavy annotation review","Heavy annotation review; source-copy control","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","Google Drive file 1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c, pages 2-5","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-03-13-clinton-yeltsin-sharm-el-sheikh-memcon-cable.pdf","https://drive.google.com/file/d/1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c/view","Source: William J. Clinton Presidential Library, Clinton Presidential Records: NSC Cable, Email, and Records Management System, Clinton Digital Library item 118876, Clinton Digital Library item 2016-0118-M, Meetings between President Clinton and Russian President Boris Yeltsin."
"43","1996-04-09","Telcon","counted","Tier 3 - supporting candidate","56","5","241-246","Telephone call with President Boris Yeltsin of Russia, April 9, 1996, White House","Ukraine / Nuclear Security (8); Russian Politics / Elections (6); Arms Control / Nonproliferation (5)","Yeltsin (19); G-7 (3); Primakov (3); Christopher (2); Talbott (1); Zyuganov (1)","0","0","1","2","Heavy annotation review","Heavy annotation review; source-copy control; support/context leads","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","369-373","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-09-telcon-36.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1093, Folder Title/Record ID 9602172, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"44","1996-04-21","Memcon","counted","Tier 3 - supporting candidate","65","13","247-260","POTUS-Yeltsin One-on-One","Iraq / Middle East (13); Arms Control / Nonproliferation (11); Chechnya / Caucasus (7)","Yeltsin (7); Primakov (5); NATO (3); Christopher (2); Talbott (2); Chernomyrdin (1)","0","4","2","1","Heavy annotation review","Heavy annotation review; public framing available; source-copy control; support/context leads","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","381-393","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 43319, Folder Title/Record ID 9602708, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"45","1996-04-21","Memcon","counted","Tier 2 - strong candidate","79","7","261-268","Luncheon Meeting with Russian President Boris Yeltsin","Economic Reform / Assistance (17); Russian Politics / Elections (11); Arms Control / Nonproliferation (3)","Yeltsin (18); G-7 (11); Zyuganov (3); Berger (1); Ivanov (1); Talbott (1)","0","4","1","1","Heavy annotation review","Heavy annotation review; public framing available; source-copy control; support/context leads","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","7-13","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1100, Folder Title/Record ID 9602963, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"46","1996-05-07","Telcon","counted","Tier 3 - supporting candidate","50","4","269-273","Telephone call with President Boris Yeltsin of Russia, May 7, 1996, White House","Russian Politics / Elections (10); Chechnya / Caucasus (5); Economic Reform / Assistance (5)","Yeltsin (18); IMF (3); Chernomyrdin (1)","1","0","1","1","Heavy annotation review","Heavy annotation review; PDD timing check; source-copy control; support/context leads","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","25-28","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-05-07-telcon-38.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1101, Folder Title/Record ID 9603149, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"47","1996-06-18","Telcon","counted","Tier 4 - concise/confirmatory","37","2","274-276","Telephone call with President Boris Yeltsin of Russia, June 18, 1996, White House","Russian Politics / Elections (4); Economic Reform / Assistance (2); NATO / European Security (1)","Yeltsin (12); Chernomyrdin (1); NATO (1)","0","1","3","3","Standard annotation review","Standard annotation review; public framing available; source-copy control; support/context leads","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","39-40","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-06-18-telcon-39.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9604219, Original OA/ID 1108, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"48","1996-07-05","Telcon","counted","Tier 4 - concise/confirmatory","37","3","277-280","Telephone call with President Boris Yeltsin of Russia, July 5, 1996, White House","Russian Politics / Elections (5); Arms Control / Nonproliferation (2); NATO / European Security (1)","Yeltsin (10); Chernomyrdin (4); Gore (4); Christopher (1); Kohl (1); NATO (1)","1","0","1","1","Standard annotation review","Standard annotation review; PDD timing check; source-copy control; support/context leads","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","49-51","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-07-05-telcon-40.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9604660, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"49","1996-09-15","Telcon","counted","Tier 4 - concise/confirmatory","16","2","281-283","Telephone call with President Boris Yeltsin of Russia, September 15, 1996, White House","Russian Politics / Elections (1)","Yeltsin (13)","0","0","0","0","Light annotation check","Light annotation check","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","64-65","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-09-15-telcon-41.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9606243, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"50","1996-12-05","Telcon","counted","Tier 4 - concise/confirmatory","31","3","284-287","Telephone call with President Boris Yeltsin of Russia, December 5, 1996, White House","Russian Politics / Elections (3); Economic Reform / Assistance (1)","Yeltsin (14); Chernomyrdin (4); Gore (2); Primakov (1)","0","0","1","1","Standard annotation review","Standard annotation review; source-copy control; support/context leads","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","77-79","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-12-05-telcon-42.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9607896, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"51","1997-02-27","Telcon","counted","Tier 3 - supporting candidate","54","3","288-291","Telephone call with President Boris Yeltsin of Russia, February 27, 1997, White House","NATO / European Security (16); Arms Control / Nonproliferation (11); Economic Reform / Assistance (3)","Yeltsin (10); Chernomyrdin (3); NATO (3); Gore (2); Albright (1); Talbott (1)","0","0","1","0","Heavy annotation review","Heavy annotation review; source-copy control","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","87-89","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-02-27-telcon-43.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1604, Folder Title/Record ID 9701361, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"52","1997-03-21","Memcon","counted","Tier 1 - likely core","190","11","292-303","Helsinki Morning Meeting with President Boris Yeltsin","NATO / European Security (46); Arms Control / Nonproliferation (43); Ukraine / Nuclear Security (12)","NATO (38); Yeltsin (17); Primakov (7); Albright (3); Berger (1); Talbott (1)","0","8","1","2","Heavy annotation review","Heavy annotation review; public framing available; source-copy control; support/context leads","Read first; strong candidate for full document treatment unless displaced by final thematic balance.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","105-115","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"53","1997-03-21","Memcon","counted","Tier 2 - strong candidate","82","8","304-312","Helsinki Working Lunch with President Boris Yeltsin","NATO / European Security (10); Economic Reform / Assistance (9); Russian Politics / Elections (7)","Yeltsin (23); Chernomyrdin (3); Gore (3); IMF (2); Talbott (2); Albright (1)","0","8","1","2","Heavy annotation review","Heavy annotation review; public framing available; source-copy control; support/context leads","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","116-123","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-working-lunch.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
