sequence,date,type,readinessBucket,actualConversationPages,packetPages,title,extractionStatus,provenanceStatus,sourceNoteStatus,sourceNoteFlags,facePageStatus,facePageMissingFields,annotationTreatment,selectionTier,selectionScore,dominantIssues,authorityChecks,pddReferences,publicPapers,sourceCopyControls,supportLeads,hardGapClass,nextAction,sourcePdfPages,derivativePdfUrl,sourcePacketUrl,frusSourceNote
"25","1994-07-05","Telcon","Ready to read; source-note review","3","122-125","Telephone call with President Boris Yeltsin of Russia, July 5, 1994, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 196","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Light annotation check","Tier 4 - concise/confirmatory","23","NATO / European Security (4)","Yeltsin (13); NATO (2)","0","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed).","202-204","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-07-05-telcon-21.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 477, Folder Title/Record ID 9405387, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"26","1994-07-10","Memcon","Hard source gap","","","Meeting with President Boris Yeltsin of Russia, July 10, 1994, Naples Italy","Pending source text","No derivative PDF until actual conversation pages are found","Pending source text","","Pending source text","","Hard source follow-up","Hard source gap","","","","0","1","0","0","No released conversation pages located","Submit targeted archival/MDR follow-up; keep uncounted and do not create a derivative PDF until actual conversation pages are located.","No released July 10, 1994 Naples memcon pages located in 2015-0782-M-1","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"27","1994-09-27","Memcon","Ready to read; source-note review","7","126-133","Clinton-Yeltsin one-on-one memcon, September 27, 1994","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 209","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Tier 2 - strong candidate","86","Kosovo / Balkans (16); Economic Reform / Assistance (5); Iraq / Middle East (5)","Yeltsin (29); Milosevic (13); UN (2); G-7 (1); Kohl (1); Kozyrev (1)","0","4","1","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed).","213-219","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 481, Folder Title/Record ID 9408090, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"28","1994-09-27","Memcon","Ready to read; source-note review","10","134-144","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 245","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Tier 1 - likely core","146","Ukraine / Nuclear Security (43); Arms Control / Nonproliferation (42); Iraq / Middle East (3)","Yeltsin (31); Christopher (7); Kozyrev (6); Gore (1); Milosevic (1)","0","4","1","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed).","251-260","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 482, Folder Title/Record ID 9408513, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"29","1994-09-28","Memcon","Ready to read; source-note review","6","145-150","Second Clinton/Yeltsin One-on-One","PDF/provenance mechanically valid","No separate marker page recorded for this derivative","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants; classification marking","Heavy annotation review","Tier 3 - supporting candidate","50","NATO / European Security (12); Ukraine / Nuclear Security (6); Iraq / Middle East (4)","NATO (11); UN (7); Talbott (3); Yeltsin (2); Kohl (1)","0","2","0","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed | face-page gaps: participants; classification marking).","3-7,9","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/2509827ca57f98e07eec584b3d69250f.pdf","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101758, ""Declassified documents concerning telcon between the President and Boris Yeltsin on September 28, 1994,"" identifier 2018-1215-M; creators National Security Council, NSC European Affairs Office, and Alexander Vershbow; part of National Archives Catalog Description, NAID 7585499; Clinton Presidential Records: White House Staff and Office Files; Declassified Documents collection."
"30","1994-10-05","Telcon","Ready to read; source-note review","4","151-155","Telephone call with President Boris Yeltsin, October 5, 1994, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 221","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","48","Iraq / Middle East (6); Economic Reform / Assistance (4); Russian Politics / Elections (1)","Yeltsin (13); Chernomyrdin (7); Gore (4); Christopher (1); Kozyrev (1); Primakov (1)","1","0","1","2","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","227-230","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-05-telcon-24.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9408162, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"31","1994-10-10","Telcon","Ready to read; source-note review","4","156-160","Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 233","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","63","Iraq / Middle East (22); Economic Reform / Assistance (5); Ukraine / Nuclear Security (2)","Yeltsin (12); Kozyrev (6); Christopher (3); Chernomyrdin (2); Primakov (2); Kohl (1)","1","0","1","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","238-241","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 481, Folder Title/Record ID 9408229, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"32","1995-02-13","Telcon","Ready to read; source-note review","4","161-165","Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 263","Needs source-note review","participants; notetaker; interpreter; classified-by line not parsed; classification reason not parsed","Review fields","participants; notetaker; interpreter","Heavy annotation review","Tier 3 - supporting candidate","55","Chechnya / Caucasus (15); Economic Reform / Assistance (12); Russian Politics / Elections (7)","Yeltsin (15); Kohl (2)","1","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: participants; notetaker; interpreter; classified-by line not parsed; classification reason not parsed | face-page gaps: participants; notetaker; interpreter).","268-271","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 564, Folder Title/Record ID 9500995, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"33","1995-04-27","Telcon","Ready to read; source-note review","4","166-170","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 275","Needs source-note review","classified-by line not parsed; classification reason not parsed","Parsed","","Heavy annotation review","Tier 3 - supporting candidate","64","NATO / European Security (16); Arms Control / Nonproliferation (4); Chechnya / Caucasus (3)","Yeltsin (16); NATO (14); Gore (3); Kozyrev (3); Chernomyrdin (2); Christopher (1)","0","0","0","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed; classification reason not parsed).","280-283","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9503572, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"34","1995-05-10","Memcon","Ready to read; source-note review","16","171-187","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 284","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants; classification marking","Heavy annotation review","Tier 1 - likely core","195","NATO / European Security (67); Iraq / Middle East (17); Ukraine / Nuclear Security (16)","NATO (41); Gore (12); Yeltsin (11); Chernomyrdin (8); Kozyrev (3); G-7 (2)","1","7","0","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed | face-page gaps: participants; classification marking).","285-300","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9503774, Original OA/ID 582, Mandatory Declassification Review 2014-0904-M-Release-A, Declassified documents concerning Russia."
"35","1995-06-17","Memcon","Ready to read; source-note review","8","188-195","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","PDF/provenance mechanically valid","No separate marker page recorded for this derivative","Needs source-note review","participants; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants","Heavy annotation review","Tier 2 - strong candidate","76","NATO / European Security (18); Ukraine / Nuclear Security (9); Chechnya / Caucasus (8)","NATO (13); Yeltsin (6); Chernomyrdin (4); Gore (4); UN (3); Christopher (1)","0","1","1","3","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: participants; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed | face-page gaps: participants).","Strobe FOIA document C06835181, conversation pages 1-8","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf","https://therealjameswilson.github.io/strobe-talbott-foia/manifest.html","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06835181."
"36","1995-07-28","Telcon","Ready to read; source-note review","5","196-201","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 302","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Tier 2 - strong candidate","76","Kosovo / Balkans (13); NATO / European Security (6); Chechnya / Caucasus (5)","Yeltsin (17); Kozyrev (7); Milosevic (7); UN (7); NATO (6); Kohl (2)","1","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","309-313","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 597, Folder Title/Record ID 9505860, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"37","1995-09-27","Telcon","Ready to read; source-note review","3","202-205","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 318","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","50","NATO / European Security (8); Ukraine / Nuclear Security (5); Arms Control / Nonproliferation (4)","Yeltsin (17); NATO (6); Chernomyrdin (2); Gore (1); Kozyrev (1)","1","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed; classification reason not parsed | face-page gaps: classification marking).","324-326","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 606, Folder Title/Record ID 9507137, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"38","1995-10-23","Memcon","Ready to read; source-note review","12","206-218","Clinton-Yeltsin One-on-One","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 2","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants; classification marking","Heavy annotation review","Tier 2 - strong candidate","97","NATO / European Security (21); Ukraine / Nuclear Security (7); Arms Control / Nonproliferation (5)","NATO (18); Yeltsin (15); Gore (5); Chernomyrdin (4); Tudjman (4); Milosevic (2)","0","2","1","5","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed | face-page gaps: participants; classification marking).","5-16","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 43319, Folder Title/Record ID 9507853, National Archives Catalog item 2014-0948-M, Memcon between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545436."
"39","1995-10-23","Memcon","Ready to read; source-note review","5","219-224","Lunch with Boris Yeltsin, President of Russian Federation","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 19","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","48","NATO / European Security (1); Ukraine / Nuclear Security (1)","Yeltsin (27); Kozyrev (2); Christopher (1); NATO (1); Talbott (1)","0","2","0","5","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","31-35","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-lunch.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 611, Folder Title/Record ID 9507991, National Archives Catalog item 2014-0948-M, Memcon between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545436."
"40","1996-01-26","Telcon","Ready to read; source-note review","5","225-230","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 336","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 2 - strong candidate","71","Russian Politics / Elections (15); Economic Reform / Assistance (7); Chechnya / Caucasus (6)","Yeltsin (20); NATO (6); Chernomyrdin (4); Gore (2); IMF (2); Christopher (1)","1","1","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","342-346","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1082, Folder Title/Record ID 9600480, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"41","1996-02-21","Telcon","Ready to read; source-note review","4","231-235","Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 348","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Tier 2 - strong candidate","72","NATO / European Security (12); Russian Politics / Elections (10); Arms Control / Nonproliferation (9)","Yeltsin (18); NATO (9); Chernomyrdin (3); Christopher (2); Primakov (2); Gore (1)","1","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed).","354-357","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9601097, Original OA/ID 1086, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"42","1996-03-13","Memcon","Ready to read; source-note review","4","236-240","Meeting with President Boris Yeltsin of Russia, March 13, 1996, Sharm El-Sheikh, Egypt","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 1","Needs source-note review","declassify-on line not parsed","Parsed","","Heavy annotation review","Tier 3 - supporting candidate","56","Russian Politics / Elections (9); Economic Reform / Assistance (2)","Yeltsin (27); Primakov (6); Christopher (3); Chernomyrdin (2); Gore (2); Talbott (1)","0","0","2","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: declassify-on line not parsed).","Google Drive file 1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c, pages 2-5","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-03-13-clinton-yeltsin-sharm-el-sheikh-memcon-cable.pdf","https://drive.google.com/file/d/1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c/view","Source: William J. Clinton Presidential Library, Clinton Presidential Records: NSC Cable, Email, and Records Management System, Clinton Digital Library item 118876, Clinton Digital Library item 2016-0118-M, Meetings between President Clinton and Russian President Boris Yeltsin."
"43","1996-04-09","Telcon","Ready to read; source-note review","5","241-246","Telephone call with President Boris Yeltsin of Russia, April 9, 1996, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 362","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Tier 3 - supporting candidate","56","Ukraine / Nuclear Security (8); Russian Politics / Elections (6); Arms Control / Nonproliferation (5)","Yeltsin (19); G-7 (3); Primakov (3); Christopher (2); Talbott (1); Zyuganov (1)","0","0","1","2","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed).","369-373","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-09-telcon-36.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1093, Folder Title/Record ID 9602172, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"44","1996-04-21","Memcon","Ready to read; source-note review","13","247-260","POTUS-Yeltsin One-on-One","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 377","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Review fields","participants; classification marking","Heavy annotation review","Tier 3 - supporting candidate","65","Iraq / Middle East (13); Arms Control / Nonproliferation (11); Chechnya / Caucasus (7)","Yeltsin (7); Primakov (5); NATO (3); Christopher (2); Talbott (2); Chernomyrdin (1)","0","4","2","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed | face-page gaps: participants; classification marking).","381-393","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 43319, Folder Title/Record ID 9602708, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin."
"45","1996-04-21","Memcon","Ready for selection reading","7","261-268","Luncheon Meeting with Russian President Boris Yeltsin","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 2","Parsed face-page fields available","","Parsed","","Heavy annotation review","Tier 2 - strong candidate","79","Economic Reform / Assistance (17); Russian Politics / Elections (11); Arms Control / Nonproliferation (3)","Yeltsin (18); G-7 (11); Zyuganov (3); Berger (1); Ivanov (1); Talbott (1)","0","4","1","1","","Complete heavy annotation review, then make the include/excerpt/background decision.","7-13","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1100, Folder Title/Record ID 9602963, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"46","1996-05-07","Telcon","Ready to read; source-note review","4","269-273","Telephone call with President Boris Yeltsin of Russia, May 7, 1996, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 19","Needs source-note review","classification marking; classified-by line not parsed","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","50","Russian Politics / Elections (10); Chechnya / Caucasus (5); Economic Reform / Assistance (5)","Yeltsin (18); IMF (3); Chernomyrdin (1)","1","0","1","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed | face-page gaps: classification marking).","25-28","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-05-07-telcon-38.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1101, Folder Title/Record ID 9603149, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"47","1996-06-18","Telcon","Ready to read; source-note review","2","274-276","Telephone call with President Boris Yeltsin of Russia, June 18, 1996, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 33","Needs source-note review","classification marking; classified-by line not parsed","Review fields","classification marking","Standard annotation review","Tier 4 - concise/confirmatory","37","Russian Politics / Elections (4); Economic Reform / Assistance (2); NATO / European Security (1)","Yeltsin (12); Chernomyrdin (1); NATO (1)","0","1","3","3","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed | face-page gaps: classification marking).","39-40","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-06-18-telcon-39.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9604219, Original OA/ID 1108, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"48","1996-07-05","Telcon","Ready to read; source-note review","3","277-280","Telephone call with President Boris Yeltsin of Russia, July 5, 1996, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 44","Needs source-note review","classification marking; classified-by line not parsed","Review fields","classification marking","Standard annotation review","Tier 4 - concise/confirmatory","37","Russian Politics / Elections (5); Arms Control / Nonproliferation (2); NATO / European Security (1)","Yeltsin (10); Chernomyrdin (4); Gore (4); Christopher (1); Kohl (1); NATO (1)","1","0","1","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed | face-page gaps: classification marking).","49-51","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-07-05-telcon-40.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9604660, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
