sequence,includeInVolume,proposedDocumentNumber,editorialTreatment,priority,date,type,actualConversationPages,documentTitle,suggestedThemes,source,sourcePdfPages,markerPage,localDerivativePdf,sourcePacketUrl,frusSourceNote,extractionQaStatus,declassificationIssues,annotationNeeds,compilerNotes
"31","","","Document candidate","Core chronology","1994-10-10","Telcon","4","Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House","Economic reform / assistance","2015-0782-M-1","238-241","233","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 481, Folder Title/Record ID 9408229, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 238-241 from 2015-0782-M-1 and appended original marker page 233 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"32","","","Document candidate","Core chronology","1995-02-13","Telcon","4","Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House","Economic reform / assistance","2015-0782-M-1","268-271","263","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 564, Folder Title/Record ID 9500995, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 268-271 from 2015-0782-M-1 and appended original marker page 263 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"33","","","Document candidate","Core chronology","1995-04-27","Telcon","4","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","Economic reform / assistance","2015-0782-M-1","280-283","275","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9503572, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 280-283 from 2015-0782-M-1 and appended original marker page 275 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"34","","","Document candidate","Core chronology","1995-05-10","Memcon","16","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","Economic reform / assistance","2015-0782-M-1","285-300","284","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9503774, Original OA/ID 582, Mandatory Declassification Review 2014-0904-M-Release-A, Declassified documents concerning Russia.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 285-300 from 2015-0782-M-1 and appended original marker page 284 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"35","","","Document candidate","Core chronology","1995-06-17","Memcon","8","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","","F-2017-13804","Strobe FOIA document C06835181, conversation pages 1-8","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf","https://therealjameswilson.github.io/strobe-talbott-foia/manifest.html","Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, case F-2017-13804, document C06835181.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages Strobe FOIA document C06835181, conversation pages 1-8 from F-2017-13804; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded."
"36","","","Document candidate","Core chronology","1995-07-28","Telcon","5","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","Economic reform / assistance","2015-0782-M-1","309-313","302","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 597, Folder Title/Record ID 9505860, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 309-313 from 2015-0782-M-1 and appended original marker page 302 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"37","","","Document candidate","Core chronology","1995-09-27","Telcon","3","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","Economic reform / assistance","2015-0782-M-1","324-326","318","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 606, Folder Title/Record ID 9507137, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 324-326 from 2015-0782-M-1 and appended original marker page 318 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"38","","","Document candidate","Core chronology","1995-10-23","Memcon","12","Clinton-Yeltsin One-on-One","Economic reform / assistance","2014-0948-M","5-16","2","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 43319, Folder Title/Record ID 9507853, National Archives Catalog item 2014-0948-M, Memcon between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545436.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 5-16 from 2014-0948-M and appended original marker page 2 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"39","","","Document candidate","Core chronology","1995-10-23","Memcon","5","Lunch with Boris Yeltsin, President of Russian Federation","Economic reform / assistance","2014-0948-M","31-35","19","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-lunch.pdf","https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 611, Folder Title/Record ID 9507991, National Archives Catalog item 2014-0948-M, Memcon between President William Jefferson Clinton and President Boris Yeltsin, NAID 163545436.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 31-35 from 2014-0948-M and appended original marker page 19 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"40","","","Document candidate","Core chronology","1996-01-26","Telcon","5","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","Economic reform / assistance","2015-0782-M-1","342-346","336","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1082, Folder Title/Record ID 9600480, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 342-346 from 2015-0782-M-1 and appended original marker page 336 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"41","","","Document candidate","Core chronology","1996-02-21","Telcon","4","Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House","Economic reform / assistance","2015-0782-M-1","354-357","348","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9601097, Original OA/ID 1086, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 354-357 from 2015-0782-M-1 and appended original marker page 348 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"42","","","Document candidate","Core chronology","1996-03-13","Memcon","4","Meeting with President Boris Yeltsin of Russia, March 13, 1996, Sharm El-Sheikh, Egypt","","2016-0118-M-4","Google Drive file 1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c, pages 2-5","1","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-03-13-clinton-yeltsin-sharm-el-sheikh-memcon-cable.pdf","https://drive.google.com/file/d/1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c/view","Source: William J. Clinton Presidential Library, Clinton Presidential Records: NSC Cable, Email, and Records Management System, Clinton Digital Library item 118876, Clinton Digital Library item 2016-0118-M, Meetings between President Clinton and Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages Google Drive file 1kqpS-sURsWvTfRqKhA-09YXKX5fVVh7c, pages 2-5 from 2016-0118-M-4 and appended original marker page 1 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"43","","","Document candidate","Core chronology","1996-04-09","Telcon","5","Telephone call with President Boris Yeltsin of Russia, April 9, 1996, White House","Economic reform / assistance","2015-0782-M-1","369-373","362","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-09-telcon-36.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1093, Folder Title/Record ID 9602172, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 369-373 from 2015-0782-M-1 and appended original marker page 362 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"44","","","Document candidate","Core chronology","1996-04-21","Memcon","13","POTUS-Yeltsin One-on-One","Economic reform / assistance","2015-0782-M-1","381-393","377","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 43319, Folder Title/Record ID 9602708, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 381-393 from 2015-0782-M-1 and appended original marker page 377 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"45","","","Document candidate","Core chronology","1996-04-21","Memcon","7","Luncheon Meeting with Russian President Boris Yeltsin","Economic reform / assistance","2015-0782-M-2","7-13","2","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1100, Folder Title/Record ID 9602963, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 7-13 from 2015-0782-M-2 and appended original marker page 2 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"46","","","Document candidate","Core chronology","1996-05-07","Telcon","4","Telephone call with President Boris Yeltsin of Russia, May 7, 1996, White House","Economic reform / assistance","2015-0782-M-2","25-28","19","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-05-07-telcon-38.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1101, Folder Title/Record ID 9603149, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 25-28 from 2015-0782-M-2 and appended original marker page 19 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"47","","","Document candidate","Core chronology","1996-06-18","Telcon","2","Telephone call with President Boris Yeltsin of Russia, June 18, 1996, White House","Economic reform / assistance","2015-0782-M-2","39-40","33","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-06-18-telcon-39.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9604219, Original OA/ID 1108, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 39-40 from 2015-0782-M-2 and appended original marker page 33 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"48","","","Document candidate","Core chronology","1996-07-05","Telcon","3","Telephone call with President Boris Yeltsin of Russia, July 5, 1996, White House","Economic reform / assistance","2015-0782-M-2","49-51","44","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-07-05-telcon-40.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9604660, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 49-51 from 2015-0782-M-2 and appended original marker page 44 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"49","","","Document candidate","Core chronology","1996-09-15","Telcon","2","Telephone call with President Boris Yeltsin of Russia, September 15, 1996, White House","Economic reform / assistance","2015-0782-M-2","64-65","58","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-09-15-telcon-41.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9606243, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 64-65 from 2015-0782-M-2 and appended original marker page 58 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"50","","","Document candidate","Core chronology","1996-12-05","Telcon","3","Telephone call with President Boris Yeltsin of Russia, December 5, 1996, White House","Economic reform / assistance","2015-0782-M-2","77-79","70","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-12-05-telcon-42.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9607896, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 77-79 from 2015-0782-M-2 and appended original marker page 70 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"51","","","Document candidate","Core chronology","1997-02-27","Telcon","3","Telephone call with President Boris Yeltsin of Russia, February 27, 1997, White House","Economic reform / assistance","2015-0782-M-2","87-89","82","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-02-27-telcon-43.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1604, Folder Title/Record ID 9701361, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 87-89 from 2015-0782-M-2 and appended original marker page 82 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"52","","","Document candidate","Core chronology","1997-03-21","Memcon","11","Helsinki Morning Meeting with President Boris Yeltsin","NATO / European security; Economic reform / assistance","2015-0782-M-2","105-115","97","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 105-115 from 2015-0782-M-2 and appended original marker page 97 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"53","","","Document candidate","Core chronology","1997-03-21","Memcon","8","Helsinki Working Lunch with President Boris Yeltsin","NATO / European security; Economic reform / assistance","2015-0782-M-2","116-123","97","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-working-lunch.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 116-123 from 2015-0782-M-2 and appended original marker page 97 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"54","","","Document candidate","Core chronology","1997-03-21","Memcon","4","Helsinki Afternoon Meeting with President Boris Yeltsin","NATO / European security; Economic reform / assistance","2015-0782-M-2","124-127","97","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 124-127 from 2015-0782-M-2 and appended original marker page 97 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"55","","","Document candidate","Core chronology","1997-03-21","Memcon","6","Helsinki Private Dinner with President Boris Yeltsin","NATO / European security; Economic reform / assistance","2015-0782-M-2","128-133","97","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 128-133 from 2015-0782-M-2 and appended original marker page 97 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"56","","","Document candidate","Core chronology","1997-05-27","Memcon","8","Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France","NATO / European security; Economic reform / assistance","2015-0782-M-2","143-150","137","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1623, Folder Title/Record ID 9703720, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 143-150 from 2015-0782-M-2 and appended original marker page 137 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"57","","","Document candidate","Core chronology","1997-06-20","Memcon","8","Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado","NATO / European security; Economic reform / assistance","2015-0782-M-2","165-172","158","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1629, Folder Title/Record ID 9704607, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual memcon pages 165-172 from 2015-0782-M-2 and appended original marker page 158 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"58","","","Document candidate","Core chronology","1997-10-30","Telcon","6","Telephone call with President Boris Yeltsin of Russia, October 30, 1997, White House","Economic reform / assistance","2015-0782-M-2","183-188","177","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-10-30-telcon-47.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 1651, Folder Title/Record ID 9707450, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 183-188 from 2015-0782-M-2 and appended original marker page 177 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"59","","","Document candidate","Core chronology","1997-11-16","Telcon","3","Telephone call with President Boris Yeltsin of Russia, November 16, 1997, Malibu, California","Economic reform / assistance","2015-0782-M-2","206-208","200","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-16-telcon-48.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1654, Folder Title/Record ID 9707804, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","PDF extent validated separately; final face-page markings still require compiler review","","","Potential FRUS document: extracted actual telcon pages 206-208 from 2015-0782-M-2 and appended original marker page 200 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
